# Relative energy hierarchy for Ac-Met-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -616656.2448180   0.000000
   2  -616656.1940883   0.050730
   3  -616656.1922261   0.052592
   4  -616656.1722314   0.072587
   5  -616656.1490610   0.095757
   6  -616656.0871154   0.157703
   7  -616656.0851492   0.159669
   8  -616656.0822752   0.162543
   9  -616655.7845153   0.460303
  10  -616655.7496318   0.495186
  11  -616655.6996311   0.545187
  12  -616655.6803451   0.564473
  13  -616655.6721044   0.572714
  14  -616655.6495982   0.595220
  15  -616655.6297107   0.615107
  16  -616655.5950243   0.649794
  17  -616655.5793944   0.665424
  18  -616655.5004417   0.744376
  19  -616655.4980000   0.746818
  20  -616655.4399700   0.804848
  21  -616655.4242024   0.820616
  22  -616655.4236441   0.821174
  23  -616655.4235306   0.821287
  24  -616655.4174512   0.827367
  25  -616655.4046666   0.840151
  26  -616655.3989376   0.845880
  27  -616655.3875290   0.857289
  28  -616655.3775019   0.867316
  29  -616655.3749134   0.869905
  30  -616655.3736606   0.871157
  31  -616655.3677223   0.877096
  32  -616655.3634038   0.881414
  33  -616655.3608747   0.883943
  34  -616655.3018283   0.942990
  35  -616655.2920215   0.952797
  36  -616655.2905334   0.954285
  37  -616655.2813156   0.963502
  38  -616655.2803540   0.964464
  39  -616655.2654590   0.979359
  40  -616655.2647011   0.980117
  41  -616655.2339045   1.010913
  42  -616655.2213208   1.023497
  43  -616655.1735326   1.071285
  44  -616655.1663735   1.078444
  45  -616655.1477135   1.097105
  46  -616655.1459062   1.098912
  47  -616655.1430325   1.101785
  48  -616655.1334439   1.111374
  49  -616655.1296909   1.115127
  50  -616655.1204683   1.124350
  51  -616655.1178924   1.126926
  52  -616655.1097440   1.135074
  53  -616655.1096291   1.135189
  54  -616655.1087457   1.136072
  55  -616655.0912519   1.153566
  56  -616655.0811986   1.163619
  57  -616655.0810139   1.163804
  58  -616655.0617020   1.183116
  59  -616655.0605475   1.184270
  60  -616655.0465100   1.198308
  61  -616655.0407627   1.204055
  62  -616655.0338736   1.210944
  63  -616655.0147643   1.230054
  64  -616654.9451216   1.299696
  65  -616654.9437790   1.301039
  66  -616654.9400352   1.304783
  67  -616654.9373947   1.307423
  68  -616654.9322789   1.312539
  69  -616654.9306915   1.314127
  70  -616654.9238877   1.320930
  71  -616654.9184562   1.326362
  72  -616654.9002741   1.344544
  73  -616654.8406953   1.404123
  74  -616654.8178700   1.426948
  75  -616654.8106015   1.434217
  76  -616654.8049315   1.439887
  77  -616654.7997985   1.445019
  78  -616654.7948375   1.449981
  79  -616654.7941493   1.450669
  80  -616654.7929333   1.451885
  81  -616654.7857045   1.459113
  82  -616654.7420092   1.502809
  83  -616654.7401159   1.504702
  84  -616654.7324450   1.512373
  85  -616654.7311452   1.513673
  86  -616654.6941576   1.550660
  87  -616654.6916017   1.553216
  88  -616654.6770300   1.567788
  89  -616654.6491748   1.595643
  90  -616654.6486416   1.596176
  91  -616654.6319041   1.612914
  92  -616654.5968171   1.648001
  93  -616654.5681069   1.676711
  94  -616654.5475396   1.697278
  95  -616654.5410763   1.703742
  96  -616654.5314269   1.713391
  97  -616654.5202677   1.724550
  98  -616654.5106495   1.734169
  99  -616654.5079936   1.736824
 100  -616654.4931731   1.751645
 101  -616654.4881840   1.756634
 102  -616654.4791316   1.765686
 103  -616654.4752814   1.769537
 104  -616654.4576116   1.787206
 105  -616654.4533245   1.791494
 106  -616654.4532737   1.791544
 107  -616654.4515712   1.793247
 108  -616654.4412659   1.803552
 109  -616654.4412607   1.803557
 110  -616654.4255466   1.819271
 111  -616654.4143083   1.830510
 112  -616654.4050621   1.839756
 113  -616654.3867245   1.858094
 114  -616654.3860444   1.858774
 115  -616654.3860294   1.858789
 116  -616654.3766792   1.868139
 117  -616654.3699056   1.874912
 118  -616654.3493396   1.895478
 119  -616654.2944599   1.950358
