# Relative energy hierarchy for Ac-Met-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -113703.4006575   0.000000
   2  -113703.3887033   0.011954
   3  -113703.3740576   0.026600
   4  -113703.3435702   0.057087
   5  -113703.2928264   0.107831
   6  -113703.2886154   0.112042
   7  -113703.2686303   0.132027
   8  -113703.2538231   0.146834
   9  -113703.0835805   0.317077
  10  -113703.0357562   0.364901
  11  -113702.9929434   0.407714
  12  -113702.9732075   0.427450
  13  -113702.9454563   0.455201
  14  -113702.9328755   0.467782
  15  -113702.9201209   0.480537
  16  -113702.8964168   0.504241
  17  -113702.8958292   0.504828
  18  -113702.8938702   0.506787
  19  -113702.8779713   0.522686
  20  -113702.8750662   0.525591
  21  -113702.8726839   0.527974
  22  -113702.8722953   0.528362
  23  -113702.8580960   0.542561
  24  -113702.8529658   0.547692
  25  -113702.8452748   0.555383
  26  -113702.8449530   0.555704
  27  -113702.8350711   0.565586
  28  -113702.8234564   0.577201
  29  -113702.8091303   0.591527
  30  -113702.7906185   0.610039
  31  -113702.7861539   0.614504
  32  -113702.7765930   0.624064
  33  -113702.7710397   0.629618
  34  -113702.7691961   0.631461
  35  -113702.7680019   0.632656
  36  -113702.7503184   0.650339
  37  -113702.7383907   0.662267
  38  -113702.7223154   0.678342
  39  -113702.7159518   0.684706
  40  -113702.6950257   0.705632
  41  -113702.6836523   0.717005
  42  -113702.6518231   0.748834
  43  -113702.6499684   0.750689
  44  -113702.6464426   0.754215
  45  -113702.6389169   0.761741
  46  -113702.6242361   0.776421
  47  -113702.6210623   0.779595
  48  -113702.5861922   0.814465
  49  -113702.5722817   0.828376
  50  -113702.5718864   0.828771
  51  -113702.5613963   0.839261
  52  -113702.5598519   0.840806
  53  -113702.5583677   0.842290
  54  -113702.5546218   0.846036
  55  -113702.5467217   0.853936
  56  -113702.5466328   0.854025
  57  -113702.5463300   0.854327
  58  -113702.5395223   0.861135
  59  -113702.4749190   0.925738
  60  -113702.4496840   0.950973
  61  -113702.4075163   0.993141
  62  -113702.3918038   1.008854
  63  -113702.3812613   1.019396
  64  -113702.3769974   1.023660
  65  -113702.3714054   1.029252
  66  -113702.3399487   1.060709
  67  -113702.3355568   1.065101
  68  -113702.2891928   1.111465
  69  -113702.2864729   1.114185
  70  -113702.2860796   1.114578
  71  -113702.2797580   1.120899
  72  -113702.2608655   1.139792
  73  -113702.2301761   1.170481
  74  -113702.2257933   1.174864
  75  -113702.2252999   1.175358
  76  -113702.2205043   1.180153
  77  -113702.2140747   1.186583
  78  -113702.2056419   1.195016
  79  -113702.1811045   1.219553
  80  -113702.1807647   1.219893
  81  -113702.1790079   1.221650
  82  -113702.1551814   1.245476
  83  -113702.1542372   1.246420
  84  -113702.1451308   1.255527
  85  -113702.1371573   1.263500
  86  -113702.1295361   1.271121
  87  -113702.1286609   1.271997
  88  -113702.1214829   1.279175
  89  -113702.1187686   1.281889
  90  -113702.1091038   1.291554
  91  -113702.1027252   1.297932
  92  -113702.0534401   1.347217
  93  -113702.0328907   1.367767
  94  -113702.0203806   1.380277
  95  -113702.0056876   1.394970
  96  -113702.0014548   1.399203
  97  -113701.9974602   1.403197
  98  -113701.9745248   1.426133
  99  -113701.9704716   1.430186
 100  -113701.9639697   1.436688
 101  -113701.9524530   1.448204
 102  -113701.9461327   1.454525
 103  -113701.9428707   1.457787
 104  -113701.9345884   1.466069
 105  -113701.9300853   1.470572
 106  -113701.9178127   1.482845
 107  -113701.9090719   1.491586
 108  -113701.9081275   1.492530
 109  -113701.8860928   1.514565
 110  -113701.8843958   1.516262
 111  -113701.8808661   1.519791
 112  -113701.8734945   1.527163
 113  -113701.8577958   1.542862
 114  -113701.8246927   1.575965
 115  -113701.8196803   1.580977
 116  -113701.7958796   1.604778
 117  -113701.7609430   1.639714
