# Relative energy hierarchy for Ac-Met-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -26512.300044   0.000000
   2  -26512.293866   0.006178
   3  -26512.266144   0.033900
   4  -26512.262912   0.037132
   5  -26512.257441   0.042603
   6  -26512.254402   0.045642
   7  -26512.248986   0.051058
   8  -26512.243220   0.056824
   9  -26512.236836   0.063208
  10  -26512.223999   0.076045
  11  -26512.221917   0.078127
  12  -26512.221438   0.078606
  13  -26512.209276   0.090768
  14  -26512.207108   0.092936
  15  -26512.202690   0.097354
  16  -26512.201524   0.098520
  17  -26512.198223   0.101821
  18  -26512.189978   0.110066
  19  -26512.187920   0.112124
  20  -26512.187462   0.112582
  21  -26512.181115   0.118929
  22  -26512.176128   0.123916
  23  -26512.174832   0.125212
  24  -26512.172651   0.127393
  25  -26512.172158   0.127886
  26  -26512.170174   0.129870
  27  -26512.168656   0.131388
  28  -26512.168066   0.131978
  29  -26512.165998   0.134046
  30  -26512.163888   0.136156
  31  -26512.161953   0.138091
  32  -26512.161529   0.138515
  33  -26512.161216   0.138828
  34  -26512.160937   0.139107
  35  -26512.157128   0.142916
  36  -26512.154524   0.145520
  37  -26512.153529   0.146515
  38  -26512.153369   0.146675
  39  -26512.150034   0.150010
  40  -26512.148784   0.151260
  41  -26512.147758   0.152286
  42  -26512.145660   0.154384
  43  -26512.143522   0.156522
  44  -26512.142138   0.157906
  45  -26512.140767   0.159277
  46  -26512.131964   0.168080
  47  -26512.131837   0.168207
  48  -26512.130554   0.169490
  49  -26512.130544   0.169500
  50  -26512.128696   0.171348
  51  -26512.128105   0.171939
  52  -26512.127538   0.172506
  53  -26512.127006   0.173038
  54  -26512.125534   0.174510
  55  -26512.124983   0.175061
  56  -26512.123979   0.176065
  57  -26512.122014   0.178030
  58  -26512.121715   0.178329
  59  -26512.120514   0.179530
  60  -26512.119120   0.180924
  61  -26512.116399   0.183645
  62  -26512.113599   0.186445
  63  -26512.112975   0.187069
  64  -26512.111699   0.188345
  65  -26512.110857   0.189187
  66  -26512.110575   0.189469
  67  -26512.109368   0.190676
  68  -26512.108586   0.191458
  69  -26512.108362   0.191682
  70  -26512.108227   0.191817
  71  -26512.106639   0.193405
  72  -26512.105494   0.194550
  73  -26512.103683   0.196361
  74  -26512.102105   0.197939
  75  -26512.101358   0.198686
  76  -26512.099914   0.200130
  77  -26512.099431   0.200613
  78  -26512.097773   0.202271
  79  -26512.096683   0.203361
  80  -26512.095600   0.204444
  81  -26512.095333   0.204711
  82  -26512.095320   0.204724
  83  -26512.092183   0.207861
  84  -26512.092089   0.207955
  85  -26512.092013   0.208031
  86  -26512.091687   0.208357
  87  -26512.090642   0.209402
  88  -26512.089334   0.210710
  89  -26512.088290   0.211754
  90  -26512.087482   0.212562
  91  -26512.087372   0.212672
  92  -26512.086905   0.213139
  93  -26512.084452   0.215592
  94  -26512.083673   0.216371
  95  -26512.083672   0.216372
  96  -26512.082700   0.217344
  97  -26512.080758   0.219286
  98  -26512.080664   0.219380
  99  -26512.076698   0.223346
 100  -26512.076373   0.223671
 101  -26512.076123   0.223921
 102  -26512.075526   0.224518
 103  -26512.075436   0.224608
 104  -26512.075236   0.224808
 105  -26512.074919   0.225125
 106  -26512.072656   0.227388
 107  -26512.069904   0.230140
 108  -26512.067021   0.233023
 109  -26512.066854   0.233190
 110  -26512.066568   0.233476
 111  -26512.065806   0.234238
 112  -26512.065137   0.234907
 113  -26512.065083   0.234961
 114  -26512.062752   0.237292
 115  -26512.059379   0.240665
 116  -26512.058240   0.241804
 117  -26512.057386   0.242658
 118  -26512.055969   0.244075
 119  -26512.052435   0.247609
 120  -26512.051090   0.248954
 121  -26512.050816   0.249228
 122  -26512.050463   0.249581
 123  -26512.049324   0.250720
 124  -26512.047305   0.252739
 125  -26512.047204   0.252840
 126  -26512.046850   0.253194
 127  -26512.046819   0.253225
 128  -26512.045476   0.254568
 129  -26512.044412   0.255632
 130  -26512.041653   0.258391
 131  -26512.041393   0.258651
 132  -26512.040528   0.259516
 133  -26512.040259   0.259785
 134  -26512.038649   0.261395
 135  -26512.037829   0.262215
 136  -26512.033124   0.266920
 137  -26512.032980   0.267064
 138  -26512.032556   0.267488
 139  -26512.030473   0.269571
 140  -26512.030314   0.269730
 141  -26512.029690   0.270354
 142  -26512.027939   0.272105
 143  -26512.027185   0.272859
 144  -26512.026325   0.273719
 145  -26512.025445   0.274599
 146  -26512.025362   0.274682
 147  -26512.025273   0.274771
 148  -26512.025134   0.274910
 149  -26512.023700   0.276344
 150  -26512.022898   0.277146
 151  -26512.019260   0.280784
 152  -26512.017622   0.282422
 153  -26512.015945   0.284099
 154  -26512.013884   0.286160
 155  -26512.013319   0.286725
 156  -26512.013216   0.286828
 157  -26512.011622   0.288422
 158  -26512.011560   0.288484
 159  -26512.011167   0.288877
 160  -26512.008845   0.291199
 161  -26512.007341   0.292703
 162  -26512.006571   0.293473
 163  -26512.005240   0.294804
 164  -26512.004414   0.295630
 165  -26512.003910   0.296134
 166  -26512.003063   0.296981
 167  -26512.003060   0.296984
 168  -26512.002288   0.297756
 169  -26512.000618   0.299426
 170  -26511.998426   0.301618
 171  -26511.997267   0.302777
 172  -26511.996602   0.303442
 173  -26511.993127   0.306917
 174  -26511.992043   0.308001
 175  -26511.991539   0.308505
 176  -26511.990960   0.309084
 177  -26511.990302   0.309742
 178  -26511.984942   0.315102
 179  -26511.983468   0.316576
 180  -26511.983407   0.316637
 181  -26511.983237   0.316807
 182  -26511.980432   0.319612
 183  -26511.979903   0.320141
 184  -26511.979289   0.320755
 185  -26511.978802   0.321242
 186  -26511.977623   0.322421
 187  -26511.975262   0.324782
 188  -26511.972001   0.328043
 189  -26511.967050   0.332994
