# Relative energy hierarchy for Met conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -40373.7299166   0.000000
   2  -40373.7299098   0.000007
   3  -40373.7273484   0.002568
   4  -40373.7271451   0.002772
   5  -40373.7192466   0.010670
   6  -40373.7191640   0.010753
   7  -40373.7104372   0.019479
   8  -40373.7101199   0.019797
   9  -40373.6650820   0.064835
  10  -40373.6649684   0.064948
  11  -40373.6073472   0.122569
  12  -40373.5366718   0.193245
  13  -40373.5363445   0.193572
  14  -40373.5179348   0.211982
  15  -40373.4732920   0.256625
  16  -40373.4722684   0.257648
  17  -40373.4269375   0.302979
  18  -40373.4269077   0.303009
  19  -40373.4053403   0.324576
  20  -40373.4048710   0.325046
  21  -40373.4046288   0.325288
  22  -40373.4041352   0.325781
  23  -40373.3972172   0.332699
  24  -40373.3971552   0.332761
  25  -40373.3574979   0.372419
  26  -40373.3570074   0.372909
  27  -40373.3308931   0.399024
  28  -40373.3308200   0.399097
  29  -40373.3262635   0.403653
  30  -40373.3259700   0.403947
  31  -40373.3084943   0.421422
  32  -40373.3083185   0.421598
  33  -40373.2978212   0.432095
  34  -40373.2977400   0.432177
  35  -40373.2772588   0.452658
  36  -40373.2761427   0.453774
  37  -40373.2502108   0.479706
  38  -40373.2500385   0.479878
  39  -40373.2119641   0.517952
  40  -40373.2115317   0.518385
  41  -40373.1538572   0.576059
  42  -40373.0639450   0.665972
  43  -40373.0175207   0.712396
  44  -40372.9570498   0.772867
  45  -40372.8662761   0.863640
  46  -40372.8364799   0.893437
  47  -40372.8101440   0.919773
  48  -40372.8089534   0.920963
  49  -40372.8065489   0.923368
  50  -40372.8013289   0.928588
  51  -40372.7826139   0.947303
  52  -40372.7794172   0.950499
  53  -40372.7721744   0.957742
  54  -40372.7669220   0.962995
  55  -40372.7375897   0.992327
  56  -40372.7052826   1.024634
  57  -40372.7049609   1.024956
  58  -40372.6997596   1.030157
  59  -40372.6121542   1.117762
  60  -40372.6065794   1.123337
  61  -40372.6044074   1.125509
  62  -40372.5700312   1.159885
  63  -40372.5667488   1.163168
  64  -40372.5564495   1.173467
  65  -40372.5531450   1.176772
  66  -40372.5351426   1.194774
  67  -40372.5287993   1.201117
  68  -40372.5264951   1.203422
  69  -40372.5262051   1.203711
  70  -40372.5212750   1.208642
  71  -40372.4911420   1.238775
  72  -40372.4522360   1.277681
  73  -40372.4382552   1.291661
  74  -40372.4374393   1.292477
  75  -40372.4223848   1.307532
  76  -40372.4162359   1.313681
  77  -40372.3096513   1.420265
  78  -40372.2831214   1.446795
  79  -40372.2484466   1.481470
  80  -40372.1892383   1.540678
  81  -40372.1172452   1.612671
  82  -40372.1171879   1.612729
  83  -40372.1051023   1.624814
  84  -40372.0996096   1.630307
  85  -40372.0850660   1.644851
  86  -40371.9882652   1.741651
  87  -40371.8758248   1.854092
  88  -40371.8713249   1.858592
  89  -40371.6745449   2.055372
  90  -40371.6645517   2.065365
  91  -40371.6644286   2.065488
  92  -40371.2622505   2.467666
  93  -40371.2352542   2.494662
  94  -40371.2229977   2.506919
  95  -40371.1760416   2.553875
  96  -40371.1751241   2.554792
  97  -40371.1320187   2.597898
  98  -40370.7946334   2.935283
  99  -40370.7644110   2.965506
 100  -40370.6236026   3.106314
 101  -40370.6117860   3.118131
 102  -40370.5966404   3.133276
 103  -40370.5520914   3.177825
 104  -40370.5486695   3.181247
 105  -40370.5207387   3.209178
 106  -40370.5042313   3.225685
 107  -40370.4277904   3.302126
 108  -40370.4238100   3.306107
