# Relative energy hierarchy for Met conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -575226.8613002   0.000000
   2  -575226.8552690   0.006031
   3  -575226.7917970   0.069503
   4  -575226.7568422   0.104458
   5  -575226.7033725   0.157928
   6  -575226.6335941   0.227706
   7  -575226.5800295   0.281271
   8  -575226.4943568   0.366943
   9  -575226.4562373   0.405063
  10  -575226.4251947   0.436105
  11  -575226.4211271   0.440173
  12  -575226.3840186   0.477282
  13  -575226.3795992   0.481701
  14  -575226.3727614   0.488539
  15  -575226.3721856   0.489115
  16  -575226.2638516   0.597449
  17  -575226.1946396   0.666661
  18  -575226.1900676   0.671233
  19  -575226.1349114   0.726389
  20  -575226.1348450   0.726455
  21  -575226.1233477   0.737952
  22  -575226.1110568   0.750243
  23  -575226.0908479   0.770452
  24  -575226.0793497   0.781950
  25  -575226.0760012   0.785299
  26  -575226.0652471   0.796053
  27  -575226.0573093   0.803991
  28  -575226.0559660   0.805334
  29  -575226.0422059   0.819094
  30  -575226.0169519   0.844348
  31  -575225.9953013   0.865999
  32  -575225.9866758   0.874624
  33  -575225.9824980   0.878802
  34  -575225.9617206   0.899580
  35  -575225.9343376   0.926963
  36  -575225.9310457   0.930255
  37  -575225.9191480   0.942152
  38  -575225.9186676   0.942633
  39  -575225.9164067   0.944893
  40  -575225.8992908   0.962009
  41  -575225.8949009   0.966399
  42  -575225.8937447   0.967555
  43  -575225.8911781   0.970122
  44  -575225.8868063   0.974494
  45  -575225.8731949   0.988105
  46  -575225.8533119   1.007988
  47  -575225.8446763   1.016624
  48  -575225.7676995   1.093601
  49  -575225.7250353   1.136265
  50  -575225.6900785   1.171222
  51  -575225.6839819   1.177318
  52  -575225.6501897   1.211111
  53  -575225.6115638   1.249736
  54  -575225.5795196   1.281781
  55  -575225.5648752   1.296425
  56  -575225.5363198   1.324980
  57  -575225.5339096   1.327391
  58  -575225.4691358   1.392164
  59  -575225.4573812   1.403919
  60  -575225.4391318   1.422168
  61  -575225.4386670   1.422633
  62  -575225.3706327   1.490667
  63  -575225.3316882   1.529612
  64  -575225.3180601   1.543240
