# Relative energy hierarchy for Met conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -611972.5272800   0.000000
   2  -611972.4259260   0.101354
   3  -611972.4124739   0.114806
   4  -611972.3893512   0.137929
   5  -611972.3511823   0.176098
   6  -611972.3414787   0.185801
   7  -611972.3368077   0.190472
   8  -611972.3358850   0.191395
   9  -611972.2978738   0.229406
  10  -611972.1858725   0.341408
  11  -611972.1647509   0.362529
  12  -611972.1216935   0.405587
  13  -611971.8618177   0.665462
  14  -611971.8191551   0.708125
  15  -611971.7916050   0.735675
  16  -611971.7801580   0.747122
  17  -611971.6986242   0.828656
  18  -611971.6863175   0.840963
  19  -611971.6695402   0.857740
  20  -611971.6488154   0.878465
  21  -611971.6153870   0.911893
  22  -611971.5426167   0.984663
  23  -611971.5349766   0.992303
  24  -611971.5001820   1.027098
  25  -611971.4771874   1.050093
  26  -611971.4622157   1.065064
  27  -611971.4569583   1.070322
  28  -611971.4192390   1.108041
  29  -611971.4028296   1.124450
  30  -611971.3721663   1.155114
  31  -611971.3648265   1.162454
  32  -611971.3634773   1.163803
  33  -611971.3606448   1.166635
  34  -611971.3605709   1.166709
  35  -611971.3244202   1.202860
  36  -611971.3237377   1.203542
  37  -611971.3175690   1.209711
  38  -611971.3140801   1.213200
  39  -611971.3111290   1.216151
  40  -611971.3092381   1.218042
  41  -611971.3055236   1.221756
  42  -611971.2990223   1.228258
  43  -611971.2933557   1.233924
  44  -611971.2371942   1.290086
  45  -611971.1908870   1.336393
  46  -611971.1748246   1.352455
  47  -611971.1521203   1.375160
  48  -611971.1370195   1.390261
  49  -611971.1023535   1.424927
  50  -611971.0933737   1.433906
  51  -611971.0304540   1.496826
  52  -611971.0108207   1.516459
  53  -611971.0072707   1.520009
  54  -611970.9997252   1.527555
  55  -611970.9867994   1.540481
  56  -611970.9849326   1.542347
  57  -611970.9834966   1.543783
  58  -611970.9298290   1.597451
  59  -611970.8438845   1.683396
  60  -611970.8381017   1.689178
  61  -611970.7957698   1.731510
  62  -611970.7694250   1.757855
  63  -611970.7545155   1.772764
  64  -611970.7514540   1.775826
  65  -611970.6861496   1.841130
  66  -611970.6493426   1.877937
  67  -611970.4830038   2.044276
  68  -611970.3970265   2.130254
  69  -611970.3528422   2.174438
  70  -611970.3523093   2.174971
  71  -611969.9981720   2.529108
  72  -611969.9610375   2.566243
  73  -611969.9482270   2.579053
  74  -611969.9441102   2.583170
  75  -611969.9362252   2.591055
  76  -611969.8799983   2.647282
  77  -611969.8512396   2.676040
  78  -611969.8478676   2.679412
  79  -611969.8413925   2.685888
  80  -611969.8367708   2.690509
  81  -611969.8307593   2.696521
  82  -611969.7352113   2.792069
