# Relative energy hierarchy for Met conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -21829.4371881   0.000000
   2  -21829.4341789   0.003009
   3  -21829.425724   0.011464
   4  -21829.4220031   0.015185
   5  -21829.4201038   0.017084
   6  -21829.4140032   0.023185
   7  -21829.4118266   0.025362
   8  -21829.411411   0.025777
   9  -21829.4105205   0.026668
  10  -21829.396811   0.040377
  11  -21829.3954163   0.041772
  12  -21829.3925041   0.044684
  13  -21829.3735642   0.063624
  14  -21829.3680126   0.069176
  15  -21829.3659586   0.071230
  16  -21829.3618566   0.075332
  17  -21829.3613724   0.075816
  18  -21829.3605413   0.076647
  19  -21829.3595696   0.077618
  20  -21829.3578089   0.079379
  21  -21829.3552938   0.081894
  22  -21829.3551633   0.082025
  23  -21829.3535058   0.083682
  24  -21829.352894   0.084294
  25  -21829.3494881   0.087700
  26  -21829.3474628   0.089725
  27  -21829.3467197   0.090468
  28  -21829.3456081   0.091580
  29  -21829.3454886   0.091700
  30  -21829.3438058   0.093382
  31  -21829.3398832   0.097305
  32  -21829.3337706   0.103418
  33  -21829.332639   0.104549
  34  -21829.3310607   0.106127
  35  -21829.3239365   0.113252
  36  -21829.3193979   0.117790
  37  -21829.3184417   0.118746
  38  -21829.3174692   0.119719
  39  -21829.3168842   0.120304
  40  -21829.3166537   0.120534
  41  -21829.3165774   0.120611
  42  -21829.3152056   0.121983
  43  -21829.3149434   0.122245
  44  -21829.3128266   0.124362
  45  -21829.3120453   0.125143
  46  -21829.3119573   0.125231
  47  -21829.3107717   0.126416
  48  -21829.3095217   0.127666
  49  -21829.30779   0.129398
  50  -21829.3074169   0.129771
  51  -21829.3050641   0.132124
  52  -21829.3048676   0.132321
  53  -21829.3038296   0.133358
  54  -21829.3018175   0.135371
  55  -21829.3009601   0.136228
  56  -21829.3005683   0.136620
  57  -21829.2997051   0.137483
  58  -21829.2965639   0.140624
  59  -21829.2964657   0.140722
  60  -21829.2962639   0.140924
  61  -21829.2961374   0.141051
  62  -21829.2961108   0.141077
  63  -21829.2943232   0.142865
  64  -21829.294163   0.143025
  65  -21829.2938498   0.143338
  66  -21829.2920504   0.145138
  67  -21829.2898807   0.147307
  68  -21829.2895896   0.147598
  69  -21829.2877637   0.149424
  70  -21829.28547   0.151718
  71  -21829.2846035   0.152585
  72  -21829.2823174   0.154871
  73  -21829.2808076   0.156381
  74  -21829.2799493   0.157239
  75  -21829.2789674   0.158221
  76  -21829.2766332   0.160555
  77  -21829.2761321   0.161056
  78  -21829.2724482   0.164740
  79  -21829.2670595   0.170129
  80  -21829.2668047   0.170383
  81  -21829.2645177   0.172670
  82  -21829.2632794   0.173909
  83  -21829.2630042   0.174184
  84  -21829.2625046   0.174684
  85  -21829.260474   0.176714
  86  -21829.2596063   0.177582
  87  -21829.2567038   0.180484
  88  -21829.2562609   0.180927
  89  -21829.2544379   0.182750
  90  -21829.2530333   0.184155
  91  -21829.2515073   0.185681
  92  -21829.2506315   0.186557
  93  -21829.2502889   0.186899
  94  -21829.2479802   0.189208
  95  -21829.2476588   0.189529
  96  -21829.2475577   0.189630
  97  -21829.2468936   0.190295
  98  -21829.2458877   0.191300
  99  -21829.2446379   0.192550
 100  -21829.2441728   0.193015
 101  -21829.243962   0.193226
 102  -21829.2424649   0.194723
 103  -21829.2418859   0.195302
 104  -21829.2411457   0.196042
 105  -21829.2405426   0.196646
 106  -21829.2405414   0.196647
 107  -21829.2402662   0.196922
 108  -21829.2398532   0.197335
 109  -21829.2398479   0.197340
 110  -21829.2375938   0.199594
 111  -21829.2356403   0.201548
 112  -21829.234291   0.202897
 113  -21829.2342403   0.202948
 114  -21829.2335662   0.203622
 115  -21829.233393   0.203795
 116  -21829.2330481   0.204140
 117  -21829.2324213   0.204767
 118  -21829.2314783   0.205710
 119  -21829.2306584   0.206530
 120  -21829.2301793   0.207009
 121  -21829.2290001   0.208188
 122  -21829.2286742   0.208514
 123  -21829.2284599   0.208728
 124  -21829.2280624   0.209126
 125  -21829.2272764   0.209912
 126  -21829.225708   0.211480
 127  -21829.2256622   0.211526
 128  -21829.2255406   0.211648
 129  -21829.2250951   0.212093
 130  -21829.224882   0.212306
 131  -21829.224656   0.212532
 132  -21829.2242249   0.212963
 133  -21829.2231839   0.214004
 134  -21829.222322   0.214866
 135  -21829.2223204   0.214868
 136  -21829.2211567   0.216031
 137  -21829.2209412   0.216247
 138  -21829.2208069   0.216381
 139  -21829.2202659   0.216922
 140  -21829.219897   0.217291
 141  -21829.2180858   0.219102
