# Relative energy hierarchy for Ac-Phe-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -38326.6794851   0.000000
   2  -38326.6777675   0.001718
   3  -38326.5776817   0.101803
   4  -38326.5531791   0.126306
   5  -38325.8280758   0.851409
   6  -38325.7390956   0.940389
   7  -38325.7312029   0.948282
   8  -38325.6828643   0.996621
   9  -38325.6608681   1.018617
  10  -38325.6245008   1.054984
  11  -38325.5929075   1.086578
  12  -38325.5243623   1.155123
  13  -38325.5175983   1.161887
  14  -38325.5011703   1.178315
  15  -38325.460113   1.219372
  16  -38325.4538526   1.225632
  17  -38325.4434806   1.236005
  18  -38325.4274274   1.252058
  19  -38325.4177514   1.261734
  20  -38325.4095165   1.269969
  21  -38325.395882   1.283603
  22  -38325.1810675   1.498418
  23  -38325.1479617   1.531523
  24  -38325.1473114   1.532174
  25  -38325.1451811   1.534304
  26  -38325.0725294   1.606956
  27  -38325.0232772   1.656208
  28  -38325.0223362   1.657149
  29  -38324.9984848   1.681000
