# Relative energy hierarchy for Ac-Phe-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -173900.186458   0.000000
   2  -173900.0722   0.114258
   3  -173899.320692   0.865766
   4  -173899.277879   0.908579
   5  -173899.222687   0.963771
   6  -173899.1836   1.002858
   7  -173899.130294   1.056164
   8  -173899.104086   1.082372
   9  -173899.072467   1.113991
  10  -173899.054585   1.131873
  11  -173899.00724   1.179218
  12  -173898.996302   1.190156
  13  -173898.942186   1.244272
  14  -173898.860209   1.326249
  15  -173898.855439   1.331019
  16  -173898.820079   1.366379
  17  -173898.799605   1.386853
  18  -173898.763297   1.423161
  19  -173898.74837   1.438088
  20  -173898.703577   1.482881
  21  -173898.557507   1.628951
  22  -173898.479594   1.706864
  23  -173898.397887   1.788571
