# Relative energy hierarchy for Ac-Phe-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -106972.306897   0.000000
   2  -106972.208758   0.098139
   3  -106971.576163   0.730734
   4  -106971.477231   0.829666
   5  -106971.467976   0.838921
   6  -106971.424561   0.882336
   7  -106971.401993   0.904904
   8  -106971.362592   0.944305
   9  -106971.332032   0.974865
  10  -106971.287831   1.019066
  11  -106971.238217   1.068680
  12  -106971.227161   1.079736
  13  -106971.223678   1.083219
  14  -106971.223229   1.083668
  15  -106971.222108   1.084789
  16  -106971.197652   1.109245
  17  -106971.177666   1.129231
  18  -106971.135718   1.171179
  19  -106971.129958   1.176939
  20  -106970.949951   1.356946
  21  -106970.948361   1.358536
  22  -106970.92328   1.383617
  23  -106970.871005   1.435892
  24  -106970.82889   1.478007
  25  -106970.821652   1.485245
  26  -106970.814916   1.491981
  27  -106970.811267   1.495630
