# Relative energy hierarchy for Phe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -240235.34771   0.000000
   2  -240235.265944   0.081766
   3  -240235.261501   0.086209
   4  -240235.155523   0.192187
   5  -240235.063345   0.284365
   6  -240235.027028   0.320682
   7  -240234.318701   1.029009
   8  -240234.285664   1.062046
   9  -240234.012982   1.334728
  10  -240233.951656   1.396054
  11  -240233.774835   1.572875
  12  -240233.759109   1.588601
  13  -240233.712079   1.635631
  14  -240233.510117   1.837593
  15  -240233.469514   1.878196
