# Relative energy hierarchy for Phe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -33642.324179   0.000000
   2  -33642.2964657   0.027713
   3  -33642.265558   0.058621
   4  -33642.1230993   0.201080
   5  -33641.9072367   0.416942
   6  -33641.8626674   0.461512
   7  -33641.1440351   1.180144
   8  -33641.1333138   1.190865
   9  -33641.0636376   1.260541
  10  -33641.0058229   1.318356
  11  -33640.9948328   1.329346
  12  -33640.9931307   1.331048
  13  -33640.9852003   1.338979
  14  -33640.9264471   1.397732
  15  -33640.7319675   1.592211
  16  -33640.4662472   1.857932
  17  -33640.4509369   1.873242
  18  -33640.3966042   1.927575
  19  -33640.3054124   2.018767
