# Relative energy hierarchy for Phe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -169216.132546   0.000000
   2  -169216.088496   0.044050
   3  -169215.683685   0.448861
   4  -169215.525838   0.606708
   5  -169215.062563   1.069983
   6  -169214.994357   1.138189
   7  -169214.98815   1.144396
   8  -169214.981413   1.151133
   9  -169214.861024   1.271522
  10  -169214.84663   1.285916
  11  -169214.759288   1.373258
  12  -169214.679418   1.453128
  13  -169214.535257   1.597289
  14  -169214.531163   1.601383
