# Relative energy hierarchy for Phe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -568494.767604   0.000000
   2  -568494.745436   0.022168
   3  -568494.689171   0.078433
   4  -568494.620279   0.147325
   5  -568494.601248   0.166356
   6  -568494.550552   0.217052
   7  -568494.410368   0.357236
   8  -568494.33857   0.429034
   9  -568494.131799   0.635805
  10  -568494.05528   0.712324
  11  -568494.00684   0.760764
  12  -568493.938816   0.828788
  13  -568493.754522   1.013082
