# Relative energy hierarchy for Phe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -605240.731495   0.000000
   2  -605240.702175   0.029320
   3  -605240.523802   0.207693
   4  -605240.36765   0.363845
   5  -605240.311057   0.420438
   6  -605240.236328   0.495167
   7  -605239.556998   1.174497
   8  -605239.555913   1.175582
   9  -605239.510027   1.221468
  10  -605239.503288   1.228207
  11  -605239.486663   1.244832
  12  -605239.410768   1.320727
  13  -605239.231875   1.499620
  14  -605238.945383   1.786112
  15  -605238.938685   1.792810
  16  -605238.752681   1.978814
  17  -605238.689762   2.041733
