# Relative energy hierarchy for Phe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -102288.12577   0.000000
   2  -102288.082254   0.043516
   3  -102288.022112   0.103658
   4  -102287.918294   0.207476
   5  -102287.778287   0.347483
   6  -102287.739463   0.386307
   7  -102287.028218   1.097552
   8  -102287.005704   1.120066
   9  -102286.780171   1.345599
  10  -102286.75991   1.365860
  11  -102286.712287   1.413483
  12  -102286.513386   1.612384
  13  -102286.386349   1.739421
  14  -102286.312648   1.813122
  15  -102286.265062   1.860708
  16  -102286.230964   1.894806
