# Relative energy hierarchy for Phe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -15098.1214241   0.000000
   2  -15098.096924   0.024500
   3  -15098.0849407   0.036483
   4  -15098.0060784   0.115346
   5  -15097.9920503   0.129374
   6  -15097.9886056   0.132819
   7  -15097.9760327   0.145391
   8  -15097.9660277   0.155396
   9  -15097.9637985   0.157626
  10  -15097.9610188   0.160405
  11  -15097.952978   0.168446
  12  -15097.9500689   0.171355
  13  -15097.947942   0.173482
  14  -15097.9447833   0.176641
  15  -15097.9416411   0.179783
  16  -15097.9288569   0.192567
  17  -15097.9282796   0.193144
  18  -15097.910881   0.210543
  19  -15097.8833808   0.238043
  20  -15097.8720322   0.249392
  21  -15097.8576729   0.263751
  22  -15097.8566616   0.264762
  23  -15097.8419199   0.279504
  24  -15097.8336543   0.287770
  25  -15097.8154988   0.305925
