# Relative energy hierarchy for Ac-Pro-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -240738.686571   0.000000
   2  -240738.648359   0.038212
   3  -240738.487762   0.198809
   4  -240738.447787   0.238784
   5  -240738.353084   0.333487
   6  -240738.332142   0.354429
   7  -240738.14121   0.545361
   8  -240738.139838   0.546733
   9  -240738.107866   0.578705
  10  -240738.106312   0.580259
  11  -240738.105299   0.581272
  12  -240738.063441   0.623130
  13  -240737.226113   1.460458
  14  -240737.221003   1.465568
  15  -240737.215166   1.471405
