# Relative energy hierarchy for Ac-Pro-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -34145.7602187   0.000000
   2  -34145.7144082   0.045810
   3  -34145.5203293   0.239889
   4  -34145.4912617   0.268957
   5  -34145.4024057   0.357813
   6  -34145.375625   0.384594
   7  -34145.0849499   0.675269
   8  -34145.0805145   0.679704
   9  -34145.0548796   0.705339
  10  -34145.0520123   0.708206
  11  -34145.0481121   0.712107
  12  -34145.0102206   0.749998
  13  -34144.0314907   1.728728
  14  -34143.8526404   1.907578
  15  -34143.8487733   1.911445
  16  -34143.8317087   1.928510
  17  -34143.8191824   1.941036
  18  -34143.8066936   1.953525
