# Relative energy hierarchy for Ac-Pro-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -169718.97489   0.000000
   2  -169718.912138   0.062752
   3  -169718.732512   0.242378
   4  -169718.699095   0.275795
   5  -169718.63232   0.342570
   6  -169718.630078   0.344812
   7  -169718.600123   0.374767
   8  -169718.409259   0.565631
   9  -169718.379628   0.595262
  10  -169718.357559   0.617331
  11  -169718.334207   0.640683
  12  -169717.8436   1.131290
  13  -169717.68778   1.287110
  14  -169717.468131   1.506759
