# Relative energy hierarchy for Ac-Pro-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -568997.448362   0.000000
   2  -568997.397434   0.050928
   3  -568997.227605   0.220757
   4  -568997.190823   0.257539
   5  -568997.161088   0.287274
   6  -568997.096646   0.351716
   7  -568996.902873   0.545489
   8  -568996.899284   0.549078
   9  -568996.861355   0.587007
  10  -568996.818931   0.629431
  11  -568996.79905   0.649312
  12  -568996.690789   0.757573
  13  -568996.672013   0.776349
