# Relative energy hierarchy for Pro conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -10918.0876395   0.000000
   2  -10918.0617528   0.025887
   3  -10918.0114145   0.076225
   4  -10917.9521716   0.135468
   5  -10917.9498879   0.137752
   6  -10917.8785636   0.209076
   7  -10917.8784869   0.209153
   8  -10917.8765532   0.211086
   9  -10917.8657125   0.221927
  10  -10917.8594393   0.228200
  11  -10917.8546992   0.232940
  12  -10917.8503988   0.237241
  13  -10917.845887   0.241753
  14  -10917.8447963   0.242843
  15  -10917.839926   0.247713
  16  -10917.8379054   0.249734
  17  -10917.8280951   0.259544
  18  -10917.8249994   0.262640
  19  -10917.8221444   0.265495
  20  -10917.8204857   0.267154
  21  -10917.7865326   0.301107
  22  -10917.7794954   0.308144
