# Relative energy hierarchy for Ac-Ser-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -240681.003726   0.000000
   2  -240680.999133   0.004593
   3  -240680.936007   0.067719
   4  -240680.816574   0.187152
   5  -240680.590059   0.413667
   6  -240680.534052   0.469674
   7  -240680.484463   0.519263
   8  -240680.463613   0.540113
   9  -240680.376161   0.627565
  10  -240680.371279   0.632447
  11  -240680.362132   0.641594
  12  -240680.131357   0.872369
  13  -240679.965695   1.038031
  14  -240679.926039   1.077687
  15  -240679.909613   1.094113
  16  -240679.890708   1.113018
  17  -240679.859505   1.144221
  18  -240679.755792   1.247934
  19  -240679.639522   1.364204
  20  -240679.627632   1.376094
  21  -240679.626136   1.377590
  22  -240679.524258   1.479468
  23  -240679.508882   1.494844
  24  -240679.473388   1.530338
