# Relative energy hierarchy for Ac-Ser-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -34088.2786912   0.000000
   2  -34088.185534   0.093157
   3  -34088.1731562   0.105535
   4  -34087.8593606   0.419331
   5  -34087.6379165   0.640775
   6  -34087.5743486   0.704343
   7  -34087.5603889   0.718302
   8  -34087.556714   0.721977
   9  -34087.5371626   0.741529
  10  -34087.521244   0.757447
  11  -34087.4743026   0.804389
  12  -34087.4287607   0.849931
  13  -34087.3977786   0.880913
  14  -34087.3790146   0.899677
  15  -34087.0759669   1.202724
  16  -34086.9362788   1.342412
  17  -34086.9302211   1.348470
  18  -34086.827569   1.451122
  19  -34086.8255412   1.453150
  20  -34086.8226679   1.456023
  21  -34086.8186336   1.460058
  22  -34086.6898013   1.588890
  23  -34086.5647314   1.713960
  24  -34086.5604821   1.718209
  25  -34086.5542744   1.724417
  26  -34086.5530582   1.725633
  27  -34086.4247519   1.853939
  28  -34086.419513   1.859178
  29  -34086.3887088   1.889982
  30  -34086.2895081   1.989183
