# Relative energy hierarchy for Ac-Ser-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -169661.443303   0.000000
   2  -169661.339023   0.104280
   3  -169661.091347   0.351956
   4  -169660.839154   0.604149
   5  -169660.801883   0.641420
   6  -169660.794103   0.649200
   7  -169660.771417   0.671886
   8  -169660.750152   0.693151
   9  -169660.693915   0.749388
  10  -169660.660133   0.783170
  11  -169660.617906   0.825397
  12  -169660.602383   0.840920
  13  -169660.313247   1.130056
  14  -169660.247664   1.195639
  15  -169660.130256   1.313047
  16  -169660.126187   1.317116
  17  -169660.104007   1.339296
  18  -169660.084205   1.359098
  19  -169660.054665   1.388638
  20  -169659.924681   1.518622
  21  -169659.882617   1.560686
  22  -169659.777215   1.666088
  23  -169659.763347   1.679956
