# Relative energy hierarchy for Ac-Ser-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -568939.580483   0.000000
   2  -568939.575928   0.004555
   3  -568939.571474   0.009009
   4  -568939.471408   0.109075
   5  -568939.283769   0.296714
   6  -568939.269442   0.311041
   7  -568939.233183   0.347300
   8  -568939.229995   0.350488
   9  -568939.21358   0.366903
  10  -568939.116121   0.464362
  11  -568939.088978   0.491505
  12  -568939.081572   0.498911
  13  -568939.067924   0.512559
  14  -568938.859886   0.720597
  15  -568938.786995   0.793488
  16  -568938.733974   0.846509
  17  -568938.723011   0.857472
  18  -568938.717697   0.862786
  19  -568938.687844   0.892639
  20  -568938.582939   0.997544
  21  -568938.578756   1.001727
  22  -568938.514111   1.066372
  23  -568938.398674   1.181809
  24  -568938.3701   1.210383
