# Relative energy hierarchy for Ac-Ser-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -102733.943372   0.000000
   2  -102733.863071   0.080301
   3  -102733.848408   0.094964
   4  -102733.622298   0.321074
   5  -102733.395698   0.547674
   6  -102733.338794   0.604578
   7  -102733.293609   0.649763
   8  -102733.275973   0.667399
   9  -102733.227362   0.716010
  10  -102733.183322   0.760050
  11  -102733.173958   0.769414
  12  -102733.157398   0.785974
  13  -102732.894196   1.049176
  14  -102732.762266   1.181106
  15  -102732.726813   1.216559
  16  -102732.656887   1.286485
  17  -102732.64603   1.297342
  18  -102732.642773   1.300599
  19  -102732.620179   1.323193
  20  -102732.518646   1.424726
  21  -102732.390581   1.552791
  22  -102732.388793   1.554579
  23  -102732.388528   1.554844
  24  -102732.268743   1.674629
  25  -102732.256804   1.686568
  26  -102732.219164   1.724208
