# Relative energy hierarchy for Ac-Ser-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -15543.1965456   0.000000
   2  -15543.0780992   0.118446
   3  -15543.0747925   0.121753
   4  -15543.0692966   0.127249
   5  -15543.0688472   0.127698
   6  -15543.044755   0.151791
   7  -15542.9950889   0.201457
   8  -15542.9948625   0.201683
   9  -15542.99111   0.205436
  10  -15542.9789332   0.217612
  11  -15542.9677978   0.228748
  12  -15542.9640889   0.232457
  13  -15542.9530922   0.243453
  14  -15542.9420106   0.254535
  15  -15542.9393778   0.257168
  16  -15542.9386369   0.257909
  17  -15542.9169545   0.279591
  18  -15542.9099515   0.286594
  19  -15542.9068558   0.289690
  20  -15542.9032503   0.293295
  21  -15542.9028805   0.293665
  22  -15542.8856276   0.310918
  23  -15542.8844047   0.312141
  24  -15542.884007   0.312539
  25  -15542.8836027   0.312943
  26  -15542.866371   0.330175
  27  -15542.8661529   0.330393
  28  -15542.8505382   0.346007
  29  -15542.8466055   0.349940
  30  -15542.8440844   0.352461
  31  -15542.8423619   0.354184
  32  -15542.8386748   0.357871
  33  -15542.8280272   0.368518
  34  -15542.8279907   0.368555
  35  -15542.8247842   0.371761
  36  -15542.8210037   0.375542
  37  -15542.8153237   0.381222
  38  -15542.8105715   0.385974
  39  -15542.8097857   0.386760
  40  -15542.8066798   0.389866
  41  -15542.8016298   0.394916
  42  -15542.8012533   0.395292
  43  -15542.7950484   0.401497
  44  -15542.7941821   0.402363
  45  -15542.7827852   0.413760
  46  -15542.7781102   0.418435
  47  -15542.7766156   0.419930
  48  -15542.7759725   0.420573
  49  -15542.7730568   0.423489
  50  -15542.7686445   0.427901
  51  -15542.7683032   0.428242
  52  -15542.7560561   0.440490
  53  -15542.755833   0.440713
  54  -15542.7551161   0.441430
  55  -15542.7524949   0.444051
  56  -15542.7492806   0.447265
  57  -15542.7411404   0.455405
  58  -15542.738118   0.458428
  59  -15542.7305996   0.465946
  60  -15542.724275   0.472271
  61  -15542.7227102   0.473835
  62  -15542.7185678   0.477978
  63  -15542.7170187   0.479527
  64  -15542.7090003   0.487545
  65  -15542.7019114   0.494634
  66  -15542.699699   0.496847
  67  -15542.6951666   0.501379
  68  -15542.6934788   0.503067
  69  -15542.683414   0.513132
  70  -15542.6826789   0.513867
  71  -15542.6823104   0.514235
  72  -15542.6807422   0.515803
  73  -15542.6752434   0.521302
  74  -15542.6729426   0.523603
  75  -15542.6667353   0.529810
  76  -15542.6588055   0.537740
  77  -15542.656533   0.540013
  78  -15542.6529072   0.543638
  79  -15542.6389764   0.557569
  80  -15542.6383468   0.558199
  81  -15542.6379512   0.558594
  82  -15542.6369601   0.559585
  83  -15542.6347479   0.561798
  84  -15542.6343827   0.562163
  85  -15542.6327542   0.563791
  86  -15542.6262134   0.570332
  87  -15542.626053   0.570493
  88  -15542.6246764   0.571869
  89  -15542.6235713   0.572974
  90  -15542.6234057   0.573140
  91  -15542.6170905   0.579455
  92  -15542.6058709   0.590675
  93  -15542.6010585   0.595487
  94  -15542.5974407   0.599105
  95  -15542.594206   0.602340
  96  -15542.5939922   0.602553
  97  -15542.5822031   0.614342
  98  -15542.5818526   0.614693
  99  -15542.5793838   0.617162
 100  -15542.5683168   0.628229
 101  -15542.5657541   0.630791
 102  -15542.563317   0.633229
 103  -15542.5628095   0.633736
 104  -15542.5591002   0.637445
 105  -15542.5449823   0.651563
 106  -15542.5397569   0.656789
 107  -15542.5349917   0.661554
 108  -15542.5309881   0.665558
 109  -15542.51168   0.684866
 110  -15542.5113546   0.685191
 111  -15542.5014692   0.695076
 112  -15542.4949527   0.701593
 113  -15542.4945635   0.701982
 114  -15542.493784   0.702762
 115  -15542.4870494   0.709496
 116  -15542.4806314   0.715914
 117  -15542.4802581   0.716287
 118  -15542.4745955   0.721950
 119  -15542.4743177   0.722228
 120  -15542.4726028   0.723943
 121  -15542.4708723   0.725673
 122  -15542.4612347   0.735311
 123  -15542.4477487   0.748797
 124  -15542.4339062   0.762639
 125  -15542.4234737   0.773072
 126  -15542.4170797   0.779466
 127  -15542.3923121   0.804233
 128  -15542.3810557   0.815490
 129  -15542.3792208   0.817325
 130  -15542.320705   0.875841
 131  -15542.3187692   0.877776
 132  -15542.3037054   0.892840
 133  -15542.2838752   0.912670
 134  -15542.2486004   0.947945
 135  -15542.2325076   0.964038
 136  -15542.2012854   0.995260
 137  -15542.1833787   1.013167
 138  -15542.1741193   1.022426
