# Relative energy hierarchy for Ser conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -235996.987232   0.000000
   2  -235996.982843   0.004389
   3  -235996.899928   0.087304
   4  -235996.759607   0.227625
   5  -235996.63988   0.347352
   6  -235996.600577   0.386655
   7  -235996.536069   0.451163
   8  -235996.534125   0.453107
   9  -235996.416678   0.570554
  10  -235996.3579   0.629332
  11  -235996.29022   0.697012
  12  -235996.285025   0.702207
  13  -235996.267453   0.719779
  14  -235996.154987   0.832245
  15  -235996.07662   0.910612
  16  -235996.024667   0.962565
  17  -235995.924508   1.062724
  18  -235995.880409   1.106823
  19  -235995.867783   1.119449
  20  -235995.860711   1.126521
  21  -235995.506016   1.481216
  22  -235995.504089   1.483143
  23  -235994.931865   2.055367
