# Relative energy hierarchy for Ser conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -29403.9442865   0.000000
   2  -29403.7737225   0.170564
   3  -29403.7112321   0.233054
   4  -29403.686541   0.257745
   5  -29403.5808449   0.363442
   6  -29403.5036398   0.440647
   7  -29403.450292   0.493994
   8  -29403.4120594   0.532227
   9  -29403.3411265   0.603160
  10  -29403.3400497   0.604237
  11  -29403.3248297   0.619457
  12  -29403.1075469   0.836740
  13  -29403.0582091   0.886077
  14  -29403.0496491   0.894637
  15  -29403.0250739   0.919213
  16  -29403.0124106   0.931876
  17  -29402.9060497   1.038237
  18  -29402.8937152   1.050571
  19  -29402.85648   1.087806
  20  -29402.8160551   1.128231
  21  -29402.7657398   1.178547
  22  -29402.6038189   1.340468
  23  -29402.5602015   1.384085
  24  -29402.5476504   1.396636
  25  -29402.5380636   1.406223
  26  -29402.1235137   1.820773
  27  -29402.1123678   1.831919
  28  -29401.29966   2.644626
