# Relative energy hierarchy for Ser conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -164977.368022   0.000000
   2  -164977.15623   0.211792
   3  -164977.099337   0.268685
   4  -164977.075405   0.292617
   5  -164976.862518   0.505504
   6  -164976.793007   0.575015
   7  -164976.729571   0.638451
   8  -164976.622764   0.745258
   9  -164976.53411   0.833912
  10  -164976.485052   0.882970
  11  -164976.479876   0.888146
  12  -164976.470391   0.897631
  13  -164976.4627   0.905322
  14  -164976.410771   0.957251
  15  -164976.40521   0.962812
  16  -164976.380208   0.987814
  17  -164976.36896   0.999062
  18  -164976.367969   1.000053
  19  -164976.34927   1.018752
  20  -164976.295397   1.072625
  21  -164976.268837   1.099185
  22  -164976.030859   1.337163
  23  -164975.826191   1.541831
  24  -164975.455331   1.912691
