# Relative energy hierarchy for Ser conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -564255.713954   0.000000
   2  -564255.701484   0.012470
   3  -564255.664057   0.049897
   4  -564255.60247   0.111484
   5  -564255.48984   0.224114
   6  -564255.450627   0.263327
   7  -564255.447877   0.266077
   8  -564255.445256   0.268698
   9  -564255.335804   0.378150
  10  -564255.308458   0.405496
  11  -564255.302482   0.411472
  12  -564255.29903   0.414924
  13  -564255.272778   0.441176
  14  -564255.267126   0.446828
  15  -564255.182132   0.531822
  16  -564255.181443   0.532511
  17  -564255.163469   0.550485
  18  -564255.096683   0.617271
  19  -564255.041248   0.672706
  20  -564254.841406   0.872548
