# Relative energy hierarchy for Ser conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -601002.349439   0.000000
   2  -601002.109794   0.239645
   3  -601002.086592   0.262847
   4  -601002.033029   0.316410
   5  -601001.903814   0.445625
   6  -601001.782876   0.566563
   7  -601001.757056   0.592383
   8  -601001.685552   0.663887
   9  -601001.617026   0.732413
  10  -601001.565374   0.784065
  11  -601001.563316   0.786123
  12  -601001.546318   0.803121
  13  -601001.471128   0.878311
  14  -601001.382136   0.967303
  15  -601001.377232   0.972207
  16  -601001.366   0.983439
  17  -601001.289374   1.060065
  18  -601001.119364   1.230075
  19  -601000.894334   1.455105
  20  -601000.878799   1.470640
  21  -601000.865383   1.484056
  22  -601000.631827   1.717612
  23  -601000.619076   1.730363
  24  -600999.754068   2.595371
