# Relative energy hierarchy for Ser conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -98049.7866056   0.000000
   2  -98049.6822507   0.104355
   3  -98049.5946141   0.191992
   4  -98049.5565541   0.230052
   5  -98049.314658   0.471948
   6  -98049.299495   0.487111
   7  -98049.246433   0.540173
   8  -98049.2367263   0.549879
   9  -98049.1102017   0.676404
  10  -98049.0475585   0.739047
  11  -98048.8738222   0.912783
  12  -98048.8584207   0.928185
  13  -98048.8418292   0.944776
  14  -98048.8406412   0.945964
  15  -98048.7186324   1.067973
  16  -98048.6485551   1.138051
  17  -98048.5640151   1.222591
  18  -98048.5269839   1.259622
  19  -98048.5096338   1.276972
  20  -98048.4897496   1.296856
  21  -98048.0485203   1.738085
  22  -98048.0457804   1.740825
  23  -98047.4139006   2.372705
