# Relative energy hierarchy for Ser conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -10860.2784854   0.000000
   2  -10860.2766391   0.001846
   3  -10860.234912   0.043573
   4  -10860.2188528   0.059633
   5  -10860.201273   0.077212
   6  -10860.1950752   0.083410
   7  -10860.1848304   0.093655
   8  -10860.1672355   0.111250
   9  -10860.1638684   0.114617
  10  -10860.1411374   0.137348
  11  -10860.1296912   0.148794
  12  -10860.1226094   0.155876
  13  -10860.1219751   0.156510
  14  -10860.1192609   0.159224
  15  -10860.1111871   0.167298
  16  -10860.11043   0.168055
  17  -10860.1099808   0.168505
  18  -10860.097347   0.181138
  19  -10860.0946452   0.183840
  20  -10860.0933494   0.185136
  21  -10860.0920095   0.186476
  22  -10860.0915533   0.186932
  23  -10860.0890775   0.189408
  24  -10860.0873926   0.191093
  25  -10860.0735191   0.204966
  26  -10860.0721299   0.206356
  27  -10860.0700933   0.208392
  28  -10860.069717   0.208768
  29  -10860.0670198   0.211466
  30  -10860.061346   0.217139
  31  -10860.0562114   0.222274
  32  -10860.0525323   0.225953
  33  -10860.0517529   0.226732
  34  -10860.0503967   0.228089
  35  -10860.0430192   0.235466
  36  -10860.0417777   0.236708
  37  -10860.0409525   0.237533
  38  -10860.0372568   0.241229
  39  -10860.032907   0.245578
  40  -10860.0305387   0.247947
  41  -10860.0299823   0.248503
  42  -10860.023775   0.254710
  43  -10860.0153909   0.263095
  44  -10860.0134365   0.265049
  45  -10860.0127635   0.265722
  46  -10860.0104999   0.267986
  47  -10860.0082514   0.270234
  48  -10860.0007332   0.277752
  49  -10859.9949981   0.283487
  50  -10859.9914233   0.287062
  51  -10859.9896308   0.288855
  52  -10859.9814238   0.297062
  53  -10859.9399648   0.338521
  54  -10859.9355939   0.342892
  55  -10859.924424   0.354061
  56  -10859.9194544   0.359031
  57  -10859.9156743   0.362811
  58  -10859.9141409   0.364344
  59  -10859.8969691   0.381516
