# Relative energy hierarchy for Ac-Thr-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -241750.678425   0.000000
   2  -241750.608644   0.069781
   3  -241750.468473   0.209952
   4  -241750.19281   0.485615
   5  -241750.177263   0.501162
   6  -241750.14945   0.528975
   7  -241750.127933   0.550492
   8  -241750.125731   0.552694
   9  -241750.095335   0.583090
  10  -241750.034025   0.644400
  11  -241750.029807   0.648618
  12  -241749.846633   0.831792
  13  -241749.784083   0.894342
  14  -241749.598858   1.079567
  15  -241749.587977   1.090448
  16  -241749.587081   1.091344
  17  -241749.564543   1.113882
  18  -241749.539536   1.138889
  19  -241749.476908   1.201517
  20  -241749.386879   1.291546
  21  -241749.369009   1.309416
  22  -241749.322859   1.355566
  23  -241749.317308   1.361117
  24  -241749.204827   1.473598
  25  -241748.85056   1.827865
