# Relative energy hierarchy for Ac-Thr-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -35157.9772026   0.000000
   2  -35157.9746512   0.002551
   3  -35157.8814854   0.095717
   4  -35157.5214512   0.455751
   5  -35157.2422423   0.734960
   6  -35157.2356769   0.741526
   7  -35157.1990525   0.778150
   8  -35157.1967248   0.780478
   9  -35157.1884017   0.788801
  10  -35157.1883012   0.788901
  11  -35157.1040248   0.873178
  12  -35157.049255   0.927948
  13  -35156.8728772   1.104325
  14  -35156.7400936   1.237109
  15  -35156.573951   1.403252
  16  -35156.556912   1.420291
  17  -35156.5382613   1.438941
  18  -35156.5232321   1.453970
  19  -35156.4779809   1.499222
  20  -35156.4519568   1.525246
  21  -35156.3084069   1.668796
  22  -35156.2524243   1.724778
  23  -35156.2426027   1.734600
  24  -35156.2377812   1.739421
  25  -35156.2209235   1.756279
  26  -35156.1339944   1.843208
  27  -35156.1324712   1.844731
  28  -35155.9188242   2.058378
