# Relative energy hierarchy for Ac-Thr-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -170731.175902   0.000000
   2  -170731.173222   0.002680
   3  -170731.066029   0.109873
   4  -170730.785451   0.390451
   5  -170730.515874   0.660028
   6  -170730.48229   0.693612
   7  -170730.458381   0.717521
   8  -170730.43408   0.741822
   9  -170730.411561   0.764341
  10  -170730.404757   0.771145
  11  -170730.292048   0.883854
  12  -170730.128465   1.047437
  13  -170730.000748   1.175154
  14  -170729.936285   1.239617
  15  -170729.927333   1.248569
  16  -170729.873663   1.302239
  17  -170729.849149   1.326753
  18  -170729.801423   1.374479
  19  -170729.791479   1.384423
  20  -170729.767762   1.408140
  21  -170729.642865   1.533037
  22  -170729.629587   1.546315
  23  -170729.609308   1.566594
  24  -170729.578721   1.597181
  25  -170729.556869   1.619033
  26  -170729.510085   1.665817
  27  -170729.504306   1.671596
