# Relative energy hierarchy for Ac-Thr-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -606756.124753   0.000000
   2  -606756.1234   0.001353
   3  -606756.035643   0.089110
   4  -606755.768795   0.355958
   5  -606755.467356   0.657397
   6  -606755.465713   0.659040
   7  -606755.457942   0.666811
   8  -606755.426169   0.698584
   9  -606755.424767   0.699986
  10  -606755.36242   0.762333
  11  -606755.358558   0.766195
  12  -606755.282618   0.842135
  13  -606755.118635   1.006118
  14  -606754.963986   1.160767
  15  -606754.883094   1.241659
  16  -606754.838421   1.286332
  17  -606754.801435   1.323318
  18  -606754.798986   1.325767
  19  -606754.754009   1.370744
  20  -606754.708347   1.416406
  21  -606754.579997   1.544756
  22  -606754.555638   1.569115
  23  -606754.495112   1.629641
  24  -606754.46356   1.661193
  25  -606754.372871   1.751882
  26  -606754.371199   1.753554
  27  -606754.347373   1.777380
