# Relative energy hierarchy for Ac-Thr-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -103803.62778   0.000000
   2  -103803.546586   0.081194
   3  -103803.277829   0.349951
   4  -103802.999582   0.628198
   5  -103802.985234   0.642546
   6  -103802.95486   0.672920
   7  -103802.943478   0.684302
   8  -103802.939456   0.688324
   9  -103802.928644   0.699136
  10  -103802.851217   0.776563
  11  -103802.823615   0.804165
  12  -103802.643955   0.983825
  13  -103802.551398   1.076382
  14  -103802.361668   1.266112
  15  -103802.356427   1.271353
  16  -103802.35463   1.273150
  17  -103802.331658   1.296122
  18  -103802.293477   1.334303
  19  -103802.246699   1.381081
  20  -103802.132688   1.495092
  21  -103802.113013   1.514767
  22  -103802.074544   1.553236
  23  -103802.063029   1.564751
  24  -103802.062467   1.565313
  25  -103801.960217   1.667563
  26  -103801.647707   1.980073
