# Relative energy hierarchy for Ac-Thr-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -16612.7531509   0.000000
   2  -16612.6187807   0.134370
   3  -16612.6179358   0.135215
   4  -16612.584999   0.168152
   5  -16612.5823269   0.170824
   6  -16612.5579011   0.195250
   7  -16612.5553633   0.197788
   8  -16612.5538578   0.199293
   9  -16612.5298147   0.223336
  10  -16612.5116054   0.241546
  11  -16612.5094544   0.243697
  12  -16612.5059201   0.247231
  13  -16612.4945078   0.258643
  14  -16612.4809244   0.272227
  15  -16612.4771606   0.275990
  16  -16612.4767075   0.276443
  17  -16612.4660174   0.287134
  18  -16612.4658094   0.287341
  19  -16612.4634991   0.289652
  20  -16612.4614989   0.291652
  21  -16612.4582749   0.294876
  22  -16612.4467709   0.306380
  23  -16612.4452653   0.307886
  24  -16612.4418254   0.311325
  25  -16612.4211593   0.331992
  26  -16612.4167906   0.336360
  27  -16612.4143757   0.338775
  28  -16612.401273   0.351878
  29  -16612.3971051   0.356046
  30  -16612.3943389   0.358812
  31  -16612.3877267   0.365424
  32  -16612.3849538   0.368197
  33  -16612.3791595   0.373991
  34  -16612.3777567   0.375394
  35  -16612.3773621   0.375789
  36  -16612.3739634   0.379187
  37  -16612.3691993   0.383952
  38  -16612.3688374   0.384313
  39  -16612.3661251   0.387026
  40  -16612.3610872   0.392064
  41  -16612.3601221   0.393029
  42  -16612.3575774   0.395574
  43  -16612.354822   0.398329
  44  -16612.3530982   0.400053
  45  -16612.3341903   0.418961
  46  -16612.3279313   0.425220
  47  -16612.3254508   0.427700
  48  -16612.3234544   0.429696
  49  -16612.3229623   0.430189
  50  -16612.3214535   0.431697
  51  -16612.3168682   0.436283
  52  -16612.3069842   0.446167
  53  -16612.298656   0.454495
  54  -16612.2899281   0.463223
  55  -16612.2885795   0.464571
  56  -16612.2838647   0.469286
  57  -16612.2781958   0.474955
  58  -16612.2742144   0.478936
  59  -16612.2709604   0.482190
  60  -16612.2688065   0.484344
  61  -16612.2594314   0.493719
  62  -16612.2592579   0.493893
  63  -16612.2568338   0.496317
  64  -16612.2554679   0.497683
  65  -16612.2514361   0.501715
  66  -16612.2458011   0.507350
  67  -16612.2369181   0.516233
  68  -16612.2327149   0.520436
  69  -16612.2265117   0.526639
  70  -16612.2210399   0.532111
  71  -16612.2199713   0.533180
  72  -16612.2197317   0.533419
  73  -16612.2171548   0.535996
  74  -16612.2164809   0.536670
  75  -16612.2163845   0.536766
  76  -16612.21352   0.539631
  77  -16612.2110962   0.542055
  78  -16612.2049173   0.548234
  79  -16612.2032678   0.549883
  80  -16612.1983928   0.554758
  81  -16612.1975127   0.555638
  82  -16612.1960875   0.557063
  83  -16612.188096   0.565055
  84  -16612.1878002   0.565351
  85  -16612.1863392   0.566812
  86  -16612.1861874   0.566964
  87  -16612.1844002   0.568751
  88  -16612.1803629   0.572788
  89  -16612.1793634   0.573788
  90  -16612.1780277   0.575123
  91  -16612.173524   0.579627
  92  -16612.1602109   0.592940
  93  -16612.154896   0.598255
  94  -16612.1492847   0.603866
  95  -16612.1490987   0.604052
  96  -16612.1488498   0.604301
  97  -16612.1410931   0.612058
  98  -16612.139291   0.613860
  99  -16612.1249625   0.628188
 100  -16612.1124923   0.640659
 101  -16612.1099675   0.643183
 102  -16612.1085598   0.644591
 103  -16612.1066095   0.646541
 104  -16612.0977919   0.655359
 105  -16612.0967135   0.656437
 106  -16612.0929127   0.660238
 107  -16612.0874961   0.665655
 108  -16612.0864969   0.666654
 109  -16612.0727625   0.680388
 110  -16612.0671653   0.685986
 111  -16612.0536706   0.699480
 112  -16612.0525553   0.700596
 113  -16612.0497218   0.703429
 114  -16612.0226123   0.730539
 115  -16612.0189454   0.734206
 116  -16612.0130464   0.740105
 117  -16611.9792096   0.773941
 118  -16611.9694046   0.783746
 119  -16611.940262   0.812889
 120  -16611.9159666   0.837184
 121  -16611.8968773   0.856274
 122  -16611.8924792   0.860672
 123  -16611.8786383   0.874513
 124  -16611.8669233   0.886228
 125  -16611.8624268   0.890724
 126  -16611.8430718   0.910079
 127  -16611.8422239   0.910927
 128  -16611.8368202   0.916331
 129  -16611.8109764   0.942174
 130  -16611.8081172   0.945034
 131  -16611.801059   0.952092
 132  -16611.7879742   0.965177
 133  -16611.6246336   1.128517
