# Relative energy hierarchy for Thr conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -237066.689804   0.000000
   2  -237066.668639   0.021165
   3  -237066.576296   0.113508
   4  -237066.504648   0.185156
   5  -237066.464075   0.225729
   6  -237066.300137   0.389667
   7  -237066.228373   0.461431
   8  -237066.207656   0.482148
   9  -237066.072355   0.617449
  10  -237066.070001   0.619803
  11  -237065.968688   0.721116
  12  -237065.933444   0.756360
  13  -237065.917996   0.771808
  14  -237065.903902   0.785902
  15  -237065.89372   0.796084
  16  -237065.871566   0.818238
  17  -237065.746285   0.943519
  18  -237065.723083   0.966721
  19  -237065.637207   1.052597
  20  -237065.606955   1.082849
  21  -237065.586501   1.103303
  22  -237065.555133   1.134671
  23  -237065.145122   1.544682
  24  -237064.856012   1.833792
  25  -237064.646435   2.043369
