# Relative energy hierarchy for Thr conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -30473.6941477   0.000000
   2  -30473.4748792   0.219269
   3  -30473.4576133   0.236534
   4  -30473.3809583   0.313189
   5  -30473.3487146   0.345433
   6  -30473.1988428   0.495305
   7  -30473.1860615   0.508086
   8  -30473.0571335   0.637014
   9  -30473.0548232   0.639324
  10  -30473.0209394   0.673208
  11  -30472.8634832   0.830665
  12  -30472.7910739   0.903074
  13  -30472.7483748   0.945773
  14  -30472.7375967   0.956551
  15  -30472.707678   0.986470
  16  -30472.6770958   1.017052
  17  -30472.6460346   1.048113
  18  -30472.6187487   1.075399
  19  -30472.5327023   1.161445
  20  -30472.5200112   1.174137
  21  -30472.4401236   1.254024
  22  -30472.3646346   1.329513
  23  -30472.3611997   1.332948
  24  -30472.3316575   1.362490
  25  -30472.2917071   1.402441
  26  -30471.7678527   1.926295
  27  -30471.6404634   2.053684
  28  -30471.094648   2.599500
