# Relative energy hierarchy for Thr conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -166047.159174   0.000000
   2  -166046.884747   0.274427
   3  -166046.863101   0.296073
   4  -166046.835597   0.323577
   5  -166046.59077   0.568404
   6  -166046.563465   0.595709
   7  -166046.463108   0.696066
   8  -166046.420525   0.738649
   9  -166046.310452   0.848722
  10  -166046.233542   0.925632
  11  -166046.215753   0.943421
  12  -166046.214487   0.944687
  13  -166046.205919   0.953255
  14  -166046.151124   1.008050
  15  -166046.129581   1.029593
  16  -166046.129396   1.029778
  17  -166046.102176   1.056998
  18  -166046.072546   1.086628
  19  -166046.045012   1.114162
  20  -166046.009057   1.150117
  21  -166045.83175   1.327424
