# Relative energy hierarchy for Thr conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -565325.473367   0.000000
   2  -565325.464445   0.008922
   3  -565325.454888   0.018479
   4  -565325.372107   0.101260
   5  -565325.298705   0.174662
   6  -565325.237166   0.236201
   7  -565325.218226   0.255141
   8  -565325.177529   0.295838
   9  -565325.153443   0.319924
  10  -565325.140226   0.333141
  11  -565325.10555   0.367817
  12  -565325.091189   0.382178
  13  -565325.063946   0.409421
  14  -565325.008391   0.464976
  15  -565324.979441   0.493926
  16  -565324.94891   0.524457
  17  -565324.838074   0.635293
  18  -565324.663006   0.810361
  19  -565324.662001   0.811366
