# Relative energy hierarchy for Thr conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -602072.121965   0.000000
   2  -602071.856241   0.265724
   3  -602071.823955   0.298010
   4  -602071.738049   0.383916
   5  -602071.630025   0.491940
   6  -602071.617074   0.504891
   7  -602071.487932   0.634033
   8  -602071.450518   0.671447
   9  -602071.423232   0.698733
  10  -602071.254131   0.867834
  11  -602071.252198   0.869767
  12  -602071.238165   0.883800
  13  -602071.226698   0.895267
  14  -602071.142503   0.979462
  15  -602071.055354   1.066611
  16  -602070.967888   1.154077
  17  -602070.929413   1.192552
  18  -602070.74218   1.379785
  19  -602070.716601   1.405364
  20  -602070.682062   1.439903
  21  -602070.637016   1.484949
  22  -602070.316543   1.805422
  23  -602070.251444   1.870521
  24  -602069.50668   2.615285
