# Relative energy hierarchy for Thr conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -11929.8363685   0.000000
   2  -11929.8189003   0.017468
   3  -11929.7918773   0.044491
   4  -11929.7503487   0.086020
   5  -11929.7482683   0.088100
   6  -11929.7370161   0.099352
   7  -11929.7154644   0.120904
   8  -11929.712688   0.123681
   9  -11929.6893662   0.147002
  10  -11929.6844703   0.151898
  11  -11929.677039   0.159330
  12  -11929.6608406   0.175528
  13  -11929.6553488   0.181020
  14  -11929.6515645   0.184804
  15  -11929.6377262   0.198642
  16  -11929.6372633   0.199105
  17  -11929.6275099   0.208859
  18  -11929.6257305   0.210638
  19  -11929.623655   0.212714
  20  -11929.6204636   0.215905
  21  -11929.6194223   0.216946
  22  -11929.6141166   0.222252
  23  -11929.6135718   0.222797
  24  -11929.6094747   0.226894
  25  -11929.6079277   0.228441
  26  -11929.6076837   0.228685
  27  -11929.6010746   0.235294
  28  -11929.6006339   0.235735
  29  -11929.5969476   0.239421
  30  -11929.5937587   0.242610
  31  -11929.5799217   0.256447
  32  -11929.5662507   0.270118
  33  -11929.565266   0.271103
  34  -11929.5558268   0.280542
  35  -11929.5523906   0.283978
  36  -11929.5489334   0.287435
  37  -11929.5485365   0.287832
  38  -11929.5478794   0.288489
  39  -11929.5467257   0.289643
  40  -11929.5448839   0.291485
  41  -11929.5365476   0.299821
  42  -11929.5310876   0.305281
  43  -11929.5305086   0.305860
  44  -11929.5228194   0.313549
  45  -11929.5075831   0.328785
  46  -11929.476848   0.359521
  47  -11929.4454982   0.390870
