# Relative energy hierarchy for Ac-Trp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -41907.7381741   0.000000
   2  -41907.6369662   0.101208
   3  -41907.604536   0.133638
   4  -41907.5813498   0.156824
   5  -41907.5531976   0.184977
   6  -41907.5521387   0.186035
   7  -41907.5019683   0.236206
   8  -41907.4765551   0.261619
   9  -41907.4533867   0.284787
  10  -41907.083914   0.654260
  11  -41907.0793916   0.658783
  12  -41907.0210122   0.717162
  13  -41907.0014002   0.736774
  14  -41906.899153   0.839021
  15  -41906.8362099   0.901964
  16  -41906.7763701   0.961804
  17  -41906.7713975   0.966777
  18  -41906.7586333   0.979541
  19  -41906.7302824   1.007892
  20  -41906.6633898   1.074784
  21  -41906.6377936   1.100381
  22  -41906.6263552   1.111819
  23  -41906.5868042   1.151370
  24  -41906.5824911   1.155683
  25  -41906.5755121   1.162662
  26  -41906.5353211   1.202853
  27  -41906.5261892   1.211985
  28  -41906.4945679   1.243606
  29  -41906.4845931   1.253581
  30  -41906.4811771   1.256997
  31  -41906.4789646   1.259209
  32  -41906.4723061   1.265868
  33  -41906.4338174   1.304357
  34  -41906.4319131   1.306261
  35  -41906.4223965   1.315778
  36  -41906.4051323   1.333042
  37  -41906.4009128   1.337261
  38  -41906.3968267   1.341347
  39  -41906.3892971   1.348877
  40  -41906.3872059   1.350968
  41  -41906.3864953   1.351679
  42  -41906.3864001   1.351774
  43  -41906.3849879   1.353186
  44  -41906.374779   1.363395
  45  -41906.3684951   1.369679
  46  -41906.2843761   1.453798
  47  -41906.2251736   1.513000
  48  -41906.2215444   1.516630
  49  -41906.1977254   1.540449
  50  -41906.1265852   1.611589
  51  -41906.1221383   1.616036
  52  -41906.0762674   1.661907
  53  -41906.0338582   1.704316
  54  -41906.0162248   1.721949
  55  -41906.0057694   1.732405
  56  -41905.8839145   1.854260
  57  -41905.881615   1.856559
  58  -41905.8805608   1.857613
