# Relative energy hierarchy for Ac-Trp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -177481.518503   0.000000
   2  -177481.491137   0.027366
   3  -177481.411575   0.106928
   4  -177481.371171   0.147332
   5  -177481.07202   0.446483
   6  -177481.069658   0.448845
   7  -177480.985243   0.533260
   8  -177480.975331   0.543172
   9  -177480.943604   0.574899
  10  -177480.877038   0.641465
  11  -177480.723025   0.795478
  12  -177480.644703   0.873800
  13  -177480.638815   0.879688
  14  -177480.635428   0.883075
  15  -177480.626435   0.892068
  16  -177480.621292   0.897211
  17  -177480.538868   0.979635
  18  -177480.505974   1.012529
  19  -177480.46519   1.053313
  20  -177480.452597   1.065906
  21  -177480.401867   1.116636
  22  -177480.398847   1.119656
  23  -177480.394357   1.124146
  24  -177480.390153   1.128350
  25  -177480.385945   1.132558
  26  -177480.382869   1.135634
  27  -177480.380326   1.138177
  28  -177480.36606   1.152443
  29  -177480.361338   1.157165
  30  -177480.308738   1.209765
  31  -177480.298605   1.219898
  32  -177480.285667   1.232836
  33  -177480.282297   1.236206
  34  -177480.268829   1.249674
  35  -177480.258492   1.260011
  36  -177480.203854   1.314649
  37  -177480.192839   1.325664
  38  -177480.171715   1.346788
  39  -177480.159736   1.358767
  40  -177480.089123   1.429380
  41  -177479.966411   1.552092
  42  -177479.956672   1.561831
  43  -177479.928523   1.589980
  44  -177479.797375   1.721128
  45  -177479.776198   1.742305
