# Relative energy hierarchy for Ac-Trp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -576760.251712   0.000000
   2  -576760.204749   0.046963
   3  -576760.189392   0.062320
   4  -576760.169965   0.081747
   5  -576760.162608   0.089104
   6  -576760.137097   0.114615
   7  -576760.068015   0.183697
   8  -576759.957341   0.294371
   9  -576759.884116   0.367596
  10  -576759.859131   0.392581
  11  -576759.849413   0.402299
  12  -576759.831869   0.419843
  13  -576759.820157   0.431555
  14  -576759.793196   0.458516
  15  -576759.768596   0.483116
  16  -576759.760554   0.491158
  17  -576759.729405   0.522307
  18  -576759.725786   0.525926
  19  -576759.719712   0.532000
  20  -576759.656336   0.595376
  21  -576759.534345   0.717367
  22  -576759.526902   0.724810
  23  -576759.51771   0.734002
  24  -576759.486203   0.765509
  25  -576759.450311   0.801401
  26  -576759.431894   0.819818
  27  -576759.413273   0.838439
  28  -576759.404786   0.846926
  29  -576759.393217   0.858495
  30  -576759.389392   0.862320
  31  -576759.38165   0.870062
  32  -576759.379539   0.872173
  33  -576759.378448   0.873264
  34  -576759.371102   0.880610
  35  -576759.348978   0.902734
  36  -576759.343169   0.908543
  37  -576759.302255   0.949457
  38  -576759.281925   0.969787
  39  -576759.277138   0.974574
  40  -576759.266901   0.984811
  41  -576759.237062   1.014650
  42  -576759.199901   1.051811
  43  -576759.133314   1.118398
