# Relative energy hierarchy for Ac-Trp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -613505.8884   0.000000
   2  -613505.808631   0.079769
   3  -613505.788621   0.099779
   4  -613505.784419   0.103981
   5  -613505.782234   0.106166
   6  -613505.781676   0.106724
   7  -613505.705748   0.182652
   8  -613505.684099   0.204301
   9  -613505.460605   0.427795
  10  -613505.368123   0.520277
  11  -613505.302101   0.586299
  12  -613505.232194   0.656206
  13  -613505.214604   0.673796
  14  -613505.063191   0.825209
  15  -613505.058789   0.829611
  16  -613505.052888   0.835512
  17  -613505.049378   0.839022
  18  -613505.032896   0.855504
  19  -613505.00146   0.886940
  20  -613504.977365   0.911035
  21  -613504.957269   0.931131
  22  -613504.934   0.954400
  23  -613504.933101   0.955299
  24  -613504.922406   0.965994
  25  -613504.911425   0.976975
  26  -613504.892951   0.995449
  27  -613504.882309   1.006091
  28  -613504.880677   1.007723
  29  -613504.880092   1.008308
  30  -613504.836628   1.051772
  31  -613504.82245   1.065950
  32  -613504.814714   1.073686
  33  -613504.811576   1.076824
  34  -613504.810968   1.077432
  35  -613504.800271   1.088129
  36  -613504.76351   1.124890
  37  -613504.746857   1.141543
  38  -613504.730203   1.158197
  39  -613504.720678   1.167722
  40  -613504.711087   1.177313
  41  -613504.706515   1.181885
  42  -613504.700036   1.188364
  43  -613504.693583   1.194817
  44  -613504.633267   1.255133
  45  -613504.623999   1.264401
  46  -613504.591723   1.296677
  47  -613504.5871   1.301300
  48  -613504.56287   1.325530
  49  -613504.481368   1.407032
  50  -613504.414128   1.474272
  51  -613504.365338   1.523062
  52  -613504.339303   1.549097
  53  -613504.257761   1.630639
  54  -613504.20449   1.683910
