# Relative energy hierarchy for Ac-Trp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -110553.357331   0.000000
   2  -110553.255974   0.101357
   3  -110553.237721   0.119610
   4  -110553.172224   0.185107
   5  -110553.172146   0.185185
   6  -110553.137459   0.219872
   7  -110553.075132   0.282199
   8  -110552.826251   0.531080
   9  -110552.748703   0.608628
  10  -110552.74541   0.611921
  11  -110552.638591   0.718740
  12  -110552.633057   0.724274
  13  -110552.576382   0.780949
  14  -110552.492378   0.864953
  15  -110552.463989   0.893342
  16  -110552.458329   0.899002
  17  -110552.36862   0.988711
  18  -110552.367068   0.990263
  19  -110552.358794   0.998537
  20  -110552.348033   1.009298
  21  -110552.310825   1.046506
  22  -110552.30765   1.049681
  23  -110552.301596   1.055735
  24  -110552.278652   1.078679
  25  -110552.272719   1.084612
  26  -110552.270331   1.087000
  27  -110552.258717   1.098614
  28  -110552.257693   1.099638
  29  -110552.226511   1.130820
  30  -110552.197405   1.159926
  31  -110552.194137   1.163194
  32  -110552.192877   1.164454
  33  -110552.19253   1.164801
  34  -110552.167907   1.189424
  35  -110552.167436   1.189895
  36  -110552.152922   1.204409
  37  -110552.130643   1.226688
  38  -110552.121919   1.235412
  39  -110552.114962   1.242369
  40  -110552.109522   1.247809
  41  -110552.099027   1.258304
  42  -110552.084711   1.272620
  43  -110552.039032   1.318299
  44  -110552.037815   1.319516
  45  -110551.964045   1.393286
  46  -110551.95954   1.397791
  47  -110551.959496   1.397835
  48  -110551.944513   1.412818
  49  -110551.80088   1.556451
  50  -110551.793472   1.563859
  51  -110551.672282   1.685049
  52  -110551.669486   1.687845
  53  -110551.665906   1.691425
