# Relative energy hierarchy for Trp conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -37223.7830761   0.000000
   2  -37223.7601942   0.022882
   3  -37223.6162593   0.166817
   4  -37223.5851193   0.197957
   5  -37223.5178959   0.265180
   6  -37223.5098654   0.273211
   7  -37223.4763312   0.306745
   8  -37223.4736181   0.309458
   9  -37223.4448648   0.338211
  10  -37223.3363176   0.446759
  11  -37223.3347098   0.448366
  12  -37223.3301426   0.452933
  13  -37223.2919846   0.491092
  14  -37223.2514428   0.531633
  15  -37223.2191129   0.563963
  16  -37223.1596411   0.623435
  17  -37223.1170911   0.665985
  18  -37222.9126118   0.870464
  19  -37222.8656019   0.917474
  20  -37222.8387294   0.944347
  21  -37222.8356107   0.947465
  22  -37222.7627434   1.020333
  23  -37222.7523555   1.030721
  24  -37222.7478615   1.035215
  25  -37222.7435671   1.039509
  26  -37222.7127678   1.070308
  27  -37222.6906407   1.092435
  28  -37222.6803757   1.102700
  29  -37222.6437747   1.139301
  30  -37222.5668461   1.216230
  31  -37222.5217491   1.261327
  32  -37222.5163617   1.266714
  33  -37222.5144575   1.268619
  34  -37222.50375   1.279326
  35  -37222.4982237   1.284852
  36  -37222.4972   1.285876
  37  -37222.4958782   1.287198
  38  -37222.4614434   1.321633
  39  -37222.4607941   1.322282
  40  -37222.4404104   1.342666
  41  -37222.4242389   1.358837
  42  -37222.3585108   1.424565
  43  -37222.3561576   1.426919
  44  -37222.3490929   1.433983
  45  -37222.3382398   1.444836
  46  -37222.3362099   1.446866
  47  -37222.3008479   1.482228
  48  -37222.2167166   1.566360
  49  -37222.0961144   1.686962
  50  -37222.0754733   1.707603
  51  -37222.071407   1.711669
  52  -37221.3446301   2.438446
  53  -37221.2787684   2.504308
  54  -37221.2367272   2.546349
  55  -37221.2249113   2.558165
  56  -37221.2024247   2.580651
  57  -37221.1580414   2.625035
  58  -37221.1484462   2.634630
  59  -37221.1136258   2.669450
  60  -37221.1101897   2.672886
  61  -37221.0900296   2.693046
