# Relative energy hierarchy for Trp conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -172797.909003   0.000000
   2  -172797.839166   0.069837
   3  -172797.76283   0.146173
   4  -172797.716186   0.192817
   5  -172797.677641   0.231362
   6  -172797.588695   0.320308
   7  -172797.315334   0.593669
   8  -172797.260777   0.648226
   9  -172797.201922   0.707081
  10  -172797.17353   0.735473
  11  -172797.164917   0.744086
  12  -172797.148957   0.760046
  13  -172797.017008   0.891995
  14  -172796.978274   0.930729
  15  -172796.917358   0.991645
  16  -172796.808614   1.100389
  17  -172796.744445   1.164558
  18  -172796.743045   1.165958
  19  -172796.714101   1.194902
  20  -172796.70103   1.207973
  21  -172796.69182   1.217183
  22  -172796.686661   1.222342
  23  -172796.665767   1.243236
  24  -172796.628744   1.280259
  25  -172796.605253   1.303750
  26  -172796.564675   1.344328
  27  -172796.543907   1.365096
  28  -172796.528443   1.380560
  29  -172796.521323   1.387680
  30  -172796.520262   1.388741
  31  -172796.511936   1.397067
  32  -172796.483341   1.425662
  33  -172796.471348   1.437655
  34  -172796.452246   1.456757
  35  -172796.36434   1.544663
  36  -172796.356214   1.552789
  37  -172796.347648   1.561355
  38  -172796.341864   1.567139
  39  -172796.324297   1.584706
  40  -172796.285538   1.623465
  41  -172796.232947   1.676056
  42  -172796.225404   1.683599
  43  -172796.148221   1.760782
  44  -172796.110183   1.798820
