# Relative energy hierarchy for Trp conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -572076.783888   0.000000
   2  -572076.733304   0.050584
   3  -572076.639783   0.144105
   4  -572076.587978   0.195910
   5  -572076.5833   0.200588
   6  -572076.556981   0.226907
   7  -572076.548244   0.235644
   8  -572076.539758   0.244130
   9  -572076.530657   0.253231
  10  -572076.526107   0.257781
  11  -572076.520214   0.263674
  12  -572076.461746   0.322142
  13  -572076.45015   0.333738
  14  -572076.432712   0.351176
  15  -572076.413339   0.370549
  16  -572076.412318   0.371570
  17  -572076.375703   0.408185
  18  -572076.361113   0.422775
  19  -572076.357465   0.426423
  20  -572076.344825   0.439063
  21  -572076.340685   0.443203
  22  -572076.338755   0.445133
  23  -572076.328872   0.455016
  24  -572076.321845   0.462043
  25  -572076.316433   0.467455
  26  -572076.249276   0.534612
  27  -572076.068374   0.715514
  28  -572075.884211   0.899677
  29  -572075.304195   1.479693
  30  -572075.218826   1.565062
  31  -572075.191551   1.592337
  32  -572075.186032   1.597856
  33  -572075.074465   1.709423
