# Relative energy hierarchy for Trp conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -105869.51513   0.000000
   2  -105869.506251   0.008879
   3  -105869.37864   0.136490
   4  -105869.289179   0.225951
   5  -105869.230812   0.284318
   6  -105869.206767   0.308363
   7  -105869.1992   0.315930
   8  -105869.178055   0.337075
   9  -105869.114499   0.400631
  10  -105869.106891   0.408239
  11  -105869.053918   0.461212
  12  -105868.689539   0.825591
  13  -105868.68521   0.829920
  14  -105868.677214   0.837916
  15  -105868.651543   0.863587
  16  -105868.619697   0.895433
  17  -105868.609563   0.905567
  18  -105868.602945   0.912185
  19  -105868.539359   0.975771
  20  -105868.52232   0.992810
  21  -105868.505866   1.009264
  22  -105868.418783   1.096347
  23  -105868.3893   1.125830
  24  -105868.291328   1.223802
  25  -105868.284865   1.230265
  26  -105868.269933   1.245197
  27  -105868.265118   1.250012
  28  -105868.258264   1.256866
  29  -105868.247551   1.267579
  30  -105868.218633   1.296497
  31  -105868.187939   1.327191
  32  -105868.162573   1.352557
  33  -105868.099794   1.415336
  34  -105868.097345   1.417785
  35  -105868.057651   1.457479
  36  -105868.056031   1.459099
  37  -105868.002318   1.512812
  38  -105867.926209   1.588921
  39  -105867.921474   1.593656
  40  -105867.913335   1.601795
  41  -105867.386934   2.128196
  42  -105867.332366   2.182764
  43  -105867.316743   2.198387
  44  -105867.282382   2.232748
  45  -105867.266572   2.248558
  46  -105867.264035   2.251095
  47  -105867.211402   2.303728
  48  -105867.208138   2.306992
  49  -105867.197815   2.317315
  50  -105867.179023   2.336107
