# Relative energy hierarchy for Ac-Tyr-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -246967.906442   0.000000
   2  -246967.904443   0.001999
   3  -246967.814459   0.091983
   4  -246967.813604   0.092838
   5  -246967.30328   0.603162
   6  -246967.301273   0.605169
   7  -246967.191546   0.714896
   8  -246967.187612   0.718830
   9  -246967.187468   0.718974
  10  -246967.171738   0.734704
  11  -246967.145835   0.760607
  12  -246967.13417   0.772272
  13  -246967.123013   0.783429
  14  -246967.057928   0.848514
  15  -246967.053123   0.853319
  16  -246967.032087   0.874355
  17  -246967.025064   0.881378
  18  -246967.02254   0.883902
  19  -246966.998201   0.908241
  20  -246966.994653   0.911789
  21  -246966.98376   0.922682
  22  -246966.969315   0.937127
  23  -246966.961554   0.944888
  24  -246966.95889   0.947552
  25  -246966.957832   0.948610
  26  -246966.949492   0.956950
  27  -246966.947302   0.959140
  28  -246966.946136   0.960306
  29  -246966.938222   0.968220
  30  -246966.937456   0.968986
  31  -246966.931455   0.974987
  32  -246966.869911   1.036531
  33  -246966.862418   1.044024
  34  -246966.861371   1.045071
  35  -246966.744936   1.161506
  36  -246966.742915   1.163527
  37  -246966.740331   1.166111
  38  -246966.725013   1.181429
  39  -246966.723819   1.182623
  40  -246966.721528   1.184914
  41  -246966.720542   1.185900
  42  -246966.699061   1.207381
  43  -246966.689605   1.216837
  44  -246966.616529   1.289913
  45  -246966.600208   1.306234
  46  -246966.598999   1.307443
  47  -246966.597745   1.308697
  48  -246966.587649   1.318793
  49  -246966.582832   1.323610
  50  -246966.514677   1.391765
