# Relative energy hierarchy for Ac-Tyr-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -40375.260522   0.000000
   2  -40375.2586433   0.001879
   3  -40375.2578147   0.002707
   4  -40375.158768   0.101754
   5  -40375.1576513   0.102871
   6  -40374.3758309   0.884691
   7  -40374.3732628   0.887259
   8  -40374.2804906   0.980031
   9  -40374.2791528   0.981369
  10  -40374.2751315   0.985390
  11  -40374.2684376   0.992084
  12  -40374.2631222   0.997400
  13  -40374.2340084   1.026514
  14  -40374.2230633   1.037459
  15  -40374.212644   1.047878
  16  -40374.1511903   1.109332
  17  -40374.1453445   1.115177
  18  -40374.1257689   1.134753
  19  -40374.0891539   1.171368
  20  -40374.0838726   1.176649
  21  -40374.0805333   1.179989
  22  -40374.0684202   1.192102
  23  -40374.0683188   1.192203
  24  -40374.0319947   1.228527
  25  -40374.0314431   1.229079
  26  -40374.0066174   1.253905
  27  -40374.0059102   1.254612
  28  -40374.0018143   1.258708
  29  -40373.9998016   1.260720
  30  -40373.9943322   1.266190
  31  -40373.9791068   1.281415
  32  -40373.97788   1.282642
  33  -40373.9688706   1.291651
  34  -40373.9131652   1.347357
  35  -40373.8851783   1.375344
  36  -40373.8819785   1.378543
  37  -40373.8518534   1.408669
  38  -40373.8499558   1.410566
  39  -40373.8495175   1.411004
  40  -40373.8209392   1.439583
  41  -40373.8197947   1.440727
  42  -40373.8172759   1.443246
  43  -40373.7879759   1.472546
  44  -40373.762295   1.498227
  45  -40373.7568345   1.503687
  46  -40373.7452465   1.515275
  47  -40373.7265889   1.533933
  48  -40373.7197563   1.540766
  49  -40373.7138136   1.546708
  50  -40373.7105183   1.550004
  51  -40373.7036395   1.556882
  52  -40373.7024442   1.558078
  53  -40373.7018685   1.558653
  54  -40373.7003723   1.560150
  55  -40373.6526421   1.607880
  56  -40373.6495947   1.610927
  57  -40373.6028468   1.657675
  58  -40373.5732103   1.687312
  59  -40373.5684987   1.692023
  60  -40373.5542319   1.706290
  61  -40373.3206954   1.939827
