# Relative energy hierarchy for Ac-Tyr-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -575227.302334   0.000000
   2  -575227.296858   0.005476
   3  -575227.189418   0.112916
   4  -575227.184077   0.118257
   5  -575226.973133   0.329201
   6  -575226.965185   0.337149
   7  -575226.95107   0.351264
   8  -575226.926382   0.375952
   9  -575226.923047   0.379287
  10  -575226.874281   0.428053
  11  -575226.862563   0.439771
  12  -575226.817632   0.484702
  13  -575226.812678   0.489656
  14  -575226.796846   0.505488
  15  -575226.793343   0.508991
  16  -575226.729945   0.572389
  17  -575226.728283   0.574051
  18  -575226.727581   0.574753
  19  -575226.724854   0.577480
  20  -575226.719844   0.582490
  21  -575226.717159   0.585175
  22  -575226.714649   0.587685
  23  -575226.689199   0.613135
  24  -575226.665639   0.636695
  25  -575226.66339   0.638944
  26  -575226.660995   0.641339
  27  -575226.660238   0.642096
  28  -575226.657645   0.644689
  29  -575226.650739   0.651595
  30  -575226.620777   0.681557
  31  -575226.620348   0.681986
  32  -575226.578425   0.723909
  33  -575226.578289   0.724045
  34  -575226.576637   0.725697
  35  -575226.576574   0.725760
  36  -575226.574613   0.727721
  37  -575226.573183   0.729151
  38  -575226.535401   0.766933
  39  -575226.493873   0.808461
  40  -575226.492119   0.810215
  41  -575226.481847   0.820487
  42  -575226.462747   0.839587
  43  -575226.441568   0.860766
  44  -575226.440997   0.861337
  45  -575226.44073   0.861604
  46  -575226.416822   0.885512
  47  -575226.397354   0.904980
  48  -575226.368397   0.933937
  49  -575226.366345   0.935989
