# Relative energy hierarchy for Ac-Tyr-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -611973.364534   0.000000
   2  -611973.364532   0.000002
   3  -611973.266159   0.098375
   4  -611973.257511   0.107023
   5  -611972.653858   0.710676
   6  -611972.650149   0.714385
   7  -611972.553683   0.810851
   8  -611972.552923   0.811611
   9  -611972.547863   0.816671
  10  -611972.541191   0.823343
  11  -611972.5304   0.834134
  12  -611972.524117   0.840417
  13  -611972.523052   0.841482
  14  -611972.489016   0.875518
  15  -611972.464343   0.900191
  16  -611972.45037   0.914164
  17  -611972.435893   0.928641
  18  -611972.427395   0.937139
  19  -611972.423058   0.941476
  20  -611972.421095   0.943439
  21  -611972.417884   0.946650
  22  -611972.409507   0.955027
  23  -611972.393088   0.971446
  24  -611972.376382   0.988152
  25  -611972.37513   0.989404
  26  -611972.371868   0.992666
  27  -611972.335371   1.029163
  28  -611972.310589   1.053945
  29  -611972.298848   1.065686
  30  -611972.29483   1.069704
  31  -611972.28411   1.080424
  32  -611972.27833   1.086204
  33  -611972.221513   1.143021
  34  -611972.199484   1.165050
  35  -611972.197545   1.166989
  36  -611972.192466   1.172068
  37  -611972.166871   1.197663
  38  -611972.15413   1.210404
  39  -611972.131919   1.232615
  40  -611972.056698   1.307836
  41  -611972.054193   1.310341
  42  -611972.014184   1.350350
  43  -611972.014019   1.350515
  44  -611972.011386   1.353148
  45  -611972.011343   1.353191
  46  -611971.998997   1.365537
  47  -611971.962012   1.402522
  48  -611971.92978   1.434754
  49  -611971.917401   1.447133
  50  -611971.869092   1.495442
