# Relative energy hierarchy for Ac-Tyr-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -109020.874339   0.000000
   2  -109020.871514   0.002825
   3  -109020.774218   0.100121
   4  -109020.773883   0.100456
   5  -109020.119783   0.754556
   6  -109020.117437   0.756902
   7  -109020.01323   0.861109
   8  -109020.010014   0.864325
   9  -109020.007594   0.866745
  10  -109019.993207   0.881132
  11  -109019.970089   0.904250
  12  -109019.956322   0.918017
  13  -109019.947979   0.926360
  14  -109019.882949   0.991390
  15  -109019.877717   0.996622
  16  -109019.85723   1.017109
  17  -109019.826839   1.047500
  18  -109019.825049   1.049290
  19  -109019.809116   1.065223
  20  -109019.793262   1.081077
  21  -109019.777089   1.097250
  22  -109019.772285   1.102054
  23  -109019.771389   1.102950
  24  -109019.763586   1.110753
  25  -109019.747646   1.126693
  26  -109019.747123   1.127216
  27  -109019.746871   1.127468
  28  -109019.741445   1.132894
  29  -109019.73006   1.144279
  30  -109019.722376   1.151963
  31  -109019.693253   1.181086
  32  -109019.685249   1.189090
  33  -109019.649294   1.225045
  34  -109019.563385   1.310954
  35  -109019.56324   1.311099
  36  -109019.554967   1.319372
  37  -109019.525277   1.349062
  38  -109019.498928   1.375411
  39  -109019.49821   1.376129
  40  -109019.495641   1.378698
  41  -109019.494658   1.379681
  42  -109019.474044   1.400295
  43  -109019.462809   1.411530
  44  -109019.423729   1.450610
  45  -109019.420751   1.453588
  46  -109019.387398   1.486941
  47  -109019.379067   1.495272
  48  -109019.37203   1.502309
  49  -109019.355445   1.518894
  50  -109019.320833   1.553506
