# Relative energy hierarchy for Ac-Tyr-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -21829.3752844   0.000000
   2  -21829.3707772   0.004507
   3  -21829.3687492   0.006535
   4  -21829.366975   0.008309
   5  -21829.3564821   0.018802
   6  -21829.3545948   0.020690
   7  -21829.3185823   0.056702
   8  -21829.3153353   0.059949
   9  -21829.3146429   0.060642
  10  -21829.3111034   0.064181
  11  -21829.3099461   0.065338
  12  -21829.309715   0.065569
  13  -21829.3075186   0.067766
  14  -21829.3016424   0.073642
  15  -21829.2908504   0.084434
  16  -21829.2889491   0.086335
  17  -21829.2839011   0.091383
  18  -21829.269579   0.105705
  19  -21829.2657211   0.109563
  20  -21829.2438215   0.131463
  21  -21829.2429663   0.132318
  22  -21829.2411845   0.134100
  23  -21829.2186978   0.156587
  24  -21829.2134033   0.161881
  25  -21829.210769   0.164515
  26  -21829.2077625   0.167522
  27  -21829.196502   0.178782
  28  -21829.1952465   0.180038
  29  -21829.1805693   0.194715
  30  -21829.1772977   0.197987
  31  -21829.1753707   0.199914
  32  -21829.1701448   0.205140
  33  -21829.1624679   0.212816
  34  -21829.1614868   0.213798
  35  -21829.1577443   0.217540
  36  -21829.1429185   0.232366
  37  -21829.1355788   0.239706
  38  -21829.1337744   0.241510
  39  -21829.1297848   0.245500
  40  -21829.1286199   0.246665
  41  -21829.1250609   0.250223
  42  -21829.1171447   0.258140
  43  -21829.0989316   0.276353
  44  -21829.0974564   0.277828
  45  -21829.0915475   0.283737
  46  -21829.0914118   0.283873
  47  -21829.0879155   0.287369
  48  -21829.0797299   0.295555
  49  -21829.07694   0.298344
  50  -21829.0759404   0.299344
  51  -21829.070579   0.304705
  52  -21829.06934   0.305944
  53  -21829.0569185   0.318366
  54  -21829.0462388   0.329046
  55  -21829.0461987   0.329086
  56  -21829.0444304   0.330854
  57  -21829.0364006   0.338884
  58  -21829.0351943   0.340090
  59  -21829.035015   0.340269
  60  -21829.0335538   0.341731
  61  -21829.0325633   0.342721
  62  -21829.0305034   0.344781
  63  -21829.0291105   0.346174
  64  -21829.0290951   0.346189
  65  -21829.028729   0.346555
  66  -21829.0246432   0.350641
  67  -21829.024289   0.350995
  68  -21829.0202636   0.355021
  69  -21829.0140533   0.361231
  70  -21829.0098438   0.365441
  71  -21828.9927746   0.382510
  72  -21828.9809685   0.394316
  73  -21828.9796534   0.395631
  74  -21828.975708   0.399576
  75  -21828.9668472   0.408437
  76  -21828.959347   0.415937
  77  -21828.9547303   0.420554
  78  -21828.9542536   0.421031
  79  -21828.9405885   0.434696
  80  -21828.9394498   0.435835
  81  -21828.9359013   0.439383
  82  -21828.9347913   0.440493
  83  -21828.934779   0.440505
  84  -21828.9243444   0.450940
  85  -21828.9178187   0.457466
  86  -21828.9129001   0.462384
  87  -21828.9118267   0.463458
  88  -21828.9115545   0.463730
  89  -21828.9096676   0.465617
  90  -21828.9087943   0.466490
  91  -21828.9049002   0.470384
  92  -21828.9026664   0.472618
  93  -21828.9022784   0.473006
  94  -21828.9017576   0.473527
  95  -21828.9014707   0.473814
  96  -21828.8918626   0.483422
  97  -21828.889766   0.485518
  98  -21828.887281   0.488003
  99  -21828.8833703   0.491914
 100  -21828.8753713   0.499913
 101  -21828.8720073   0.503277
 102  -21828.871633   0.503651
 103  -21828.870057   0.505227
 104  -21828.8680169   0.507268
 105  -21828.8602848   0.515000
 106  -21828.8563552   0.518929
 107  -21828.8459933   0.529291
 108  -21828.8453346   0.529950
 109  -21828.8429615   0.532323
 110  -21828.8419477   0.533337
 111  -21828.8077373   0.567547
 112  -21828.7929971   0.582287
 113  -21828.7854937   0.589791
 114  -21828.7695363   0.605748
 115  -21828.7492214   0.626063
 116  -21828.6801908   0.695094
 117  -21828.6737881   0.701496
 118  -21828.6392492   0.736035
 119  -21828.6309173   0.744367
 120  -21828.6219982   0.753286
 121  -21828.618754   0.756530
 122  -21828.6121809   0.763104
 123  -21828.5674553   0.807829
 124  -21828.5486976   0.826587
 125  -21828.4760766   0.899208
 126  -21828.4578196   0.917465
