# Relative energy hierarchy for Tyr conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -242284.038216   0.000000
   2  -242284.036352   0.001864
   3  -242283.910432   0.127784
   4  -242283.909631   0.128585
   5  -242283.863133   0.175083
   6  -242283.811975   0.226241
   7  -242283.81046   0.227756
   8  -242283.717065   0.321151
   9  -242283.626709   0.411507
  10  -242283.619598   0.418618
  11  -242283.587432   0.450784
  12  -242283.550365   0.487851
  13  -242283.420236   0.617980
  14  -242283.305396   0.732820
  15  -242283.26962   0.768596
  16  -242283.115541   0.922675
  17  -242282.990967   1.047249
  18  -242282.990744   1.047472
  19  -242282.874073   1.164143
  20  -242282.873803   1.164413
  21  -242282.84613   1.192086
  22  -242282.794166   1.244050
  23  -242282.734637   1.303579
  24  -242282.681791   1.356425
  25  -242282.544481   1.493735
  26  -242282.491998   1.546218
  27  -242282.332623   1.705593
  28  -242282.121107   1.917109
  29  -242282.033928   2.004288
  30  -242282.01125   2.026966
