# Relative energy hierarchy for Tyr conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -35691.1069984   0.000000
   2  -35691.1034625   0.003536
   3  -35690.9249724   0.182026
   4  -35690.9231134   0.183885
   5  -35690.9154267   0.191572
   6  -35690.8519266   0.255072
   7  -35690.8467979   0.260201
   8  -35690.7186304   0.388368
   9  -35690.5982574   0.508741
  10  -35690.5871586   0.519840
  11  -35690.490581   0.616417
  12  -35690.4835395   0.623459
  13  -35690.4506226   0.656376
  14  -35690.4333851   0.673613
  15  -35690.3994843   0.707514
  16  -35690.3014147   0.805584
  17  -35690.2996755   0.807323
  18  -35690.2654226   0.841576
  19  -35690.0411631   1.065835
  20  -35690.0042642   1.102734
  21  -35689.8914515   1.215547
  22  -35689.8881903   1.218808
  23  -35689.7734334   1.333565
  24  -35689.7389319   1.368066
  25  -35689.7175862   1.389412
  26  -35689.6895011   1.417497
  27  -35689.67694   1.430058
  28  -35689.6634225   1.443576
  29  -35689.6556498   1.451349
  30  -35689.640482   1.466516
  31  -35689.5392447   1.567754
  32  -35689.4077041   1.699294
  33  -35688.9674053   2.139593
  34  -35688.4338551   2.673143
  35  -35688.4273619   2.679636
  36  -35688.3564536   2.750545
  37  -35688.3510668   2.755932
  38  -35688.3107962   2.796202
